"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E01004197",241,87,17,137
"E01004198",130,39,13,78
"E01004199",148,35,13,100
"E01004200",377,120,51,206
"E01004201",139,28,13,98
"E01004202",157,61,17,79
"E01004203",179,53,24,102
"E01004204",164,44,15,105
"E01004205",278,89,40,149
"E01004206",220,63,28,129
"E01004207",286,56,47,183
"E01004208",399,80,41,278
"E01004209",129,33,19,77
"E01004211",165,48,14,103
"E01004212",460,60,43,357
"E01004214",149,39,32,78
"E01004215",271,52,26,193
"E01004216",163,43,10,110
"E01004217",109,36,12,61
"E01004218",165,37,15,113
"E01004219",223,45,24,154
"E01004221",158,45,6,107
"E01004222",216,49,38,129
"E01004223",145,47,13,85
"E01004224",208,66,30,112
"E01004225",156,48,15,93
"E01004226",183,64,19,100
"E01004228",141,36,12,93
"E01004229",198,66,24,108
"E01004230",209,51,19,139
"E01004231",223,71,22,130
"E01004232",256,74,11,171
"E01004233",155,38,22,95
"E01004234",230,56,27,147
"E01004235",145,58,14,73
"E01004236",221,56,41,124
"E01004237",118,34,14,70
"E01004238",334,107,44,183
"E01004239",172,46,28,98
"E01004240",200,49,28,123
"E01004241",200,48,27,125
"E01004242",303,61,34,208
"E01004243",181,61,29,91
"E01004244",166,30,19,117
"E01004245",171,27,32,112
"E01004246",199,52,23,124
"E01004247",221,64,29,128
"E01004248",125,36,17,72
"E01004249",179,37,28,114
"E01004250",182,59,24,99
"E01004251",193,63,22,108
"E01004252",229,52,27,150
"E01004253",219,52,32,135
"E01004254",128,34,8,86
"E01004255",139,36,17,86
"E01004256",172,69,13,90
"E01004257",199,62,21,116
"E01004258",101,26,8,67
"E01004259",159,53,8,98
"E01004260",170,53,20,97
"E01004261",1472,280,123,1069
"E01004262",711,161,66,484
"E01004263",157,40,15,102
"E01004264",246,79,32,135
"E01004266",147,45,13,89
"E01004267",236,65,22,149
"E01004268",172,50,18,104
"E01004269",310,81,29,200
"E01004270",454,133,30,291
"E01004271",155,37,18,100
"E01004272",234,68,36,130
"E01004273",224,61,34,129
"E01004274",226,52,30,144
"E01004275",161,52,6,103
"E01004276",151,51,11,89
"E01004277",95,23,4,68
"E01004280",138,25,16,97
"E01004281",165,46,14,105
"E01004283",375,85,57,233
"E01004284",210,52,24,134
"E01004285",291,72,38,181
"E01004286",218,47,32,139
"E01004287",245,72,21,152
"E01004288",148,33,19,96
"E01004289",326,73,37,216
"E01004290",207,72,7,128
"E01004291",82,15,7,60
"E01004292",125,39,6,80
"E01004293",115,29,5,81
"E01004294",135,42,11,82
"E01004295",138,38,27,73
"E01004296",139,50,13,76
"E01004297",109,39,4,66
"E01004298",174,48,17,109
"E01004300",130,26,17,87
"E01004301",160,40,18,102
"E01004302",234,70,29,135
"E01004303",281,68,45,168
"E01004304",229,51,23,155
"E01004305",215,54,19,142
"E01004306",190,38,20,132
"E01004307",517,86,16,415
"E01004308",194,62,27,105
"E01004309",507,124,81,302
"E01004310",223,71,17,135
"E01004311",137,45,10,82
"E01004312",155,58,18,79
"E01004313",211,50,27,134
"E01004314",68,26,3,39
"E01004315",149,42,11,96
"E01004316",127,34,18,75
"E01004317",256,62,23,171
"E01004318",137,61,19,57
"E01004319",254,80,39,135
"E01004321",269,82,26,161
"E01004322",262,42,14,206
"E01004323",181,72,14,95
"E01004324",189,59,26,104
"E01004325",319,82,25,212
"E01004326",199,72,16,111
"E01032764",101,28,11,62
"E01032765",171,45,18,108
"E01032766",191,65,16,110
"E01032767",187,38,8,141
"E01032768",79,21,3,55
"E01032769",68,16,8,44
"E01032770",77,21,6,50
"E01032771",110,15,13,82
"E01032772",168,47,13,108
"E01032773",144,19,12,113
"E01032774",98,18,11,69
"E01032775",79,30,3,46
"E01032776",123,25,10,88
"E01032777",112,25,15,72
"E01032778",103,17,9,77
"E01032779",82,18,3,61
"E01032780",111,24,5,82
"E01032781",104,28,9,67
"E01032782",211,37,17,157
"E01032783",117,35,10,72
"E01032784",194,71,15,108
"E01032785",78,17,13,48
"E01032786",110,26,11,73
"E01032787",311,72,40,199
