"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E00021141",271,111,30,37,0,29,42,22
"E00021143",285,90,22,20,2,24,101,26
"E00021145",228,47,18,23,2,15,111,12
"E00021146",453,16,11,34,0,123,219,50
"E00021147",169,28,19,21,1,28,62,10
"E00021148",233,63,21,22,0,15,87,25
"E00021149",240,71,33,23,2,17,66,28
"E00021150",235,71,28,23,2,10,84,17
"E00021151",213,85,35,14,5,11,48,15
"E00021152",287,97,35,29,0,34,71,21
"E00021153",328,39,10,12,4,30,206,27
"E00021154",289,86,33,40,3,37,59,31
"E00021155",329,8,9,20,3,36,229,24
"E00021156",193,56,17,19,4,11,61,25
"E00021157",228,55,37,36,1,25,60,14
"E00021158",230,82,28,30,3,27,33,27
"E00021159",488,155,38,36,5,41,164,49
"E00021160",241,72,12,28,2,20,78,29
"E00021161",319,78,30,26,3,23,118,41
"E00021162",310,75,32,30,5,19,115,34
"E00021163",295,118,23,28,1,26,78,21
"E00021164",217,81,26,14,1,18,55,22
"E00021165",261,87,20,26,0,21,75,32
"E00021166",303,66,39,32,3,25,108,30
"E00021167",243,50,19,24,2,31,99,18
"E00021168",360,13,10,12,0,51,247,27
"E00021169",384,66,30,34,3,29,187,35
"E00021170",332,73,46,50,3,29,103,28
"E00021171",507,107,53,47,2,59,160,79
"E00021172",240,49,20,26,5,27,98,15
"E00021173",294,57,31,24,2,29,126,25
"E00021174",220,2,8,12,1,11,174,12
"E00021175",257,48,20,21,0,18,134,16
"E00021176",251,68,24,19,4,13,107,16
"E00021177",310,98,36,38,6,23,70,39
"E00021179",293,25,21,22,2,33,164,26
"E00021180",340,64,36,33,3,38,111,55
"E00021181",209,33,27,17,2,16,99,15
"E00021182",317,18,10,19,1,37,212,20
"E00021183",222,6,7,16,1,20,161,11
"E00021184",132,11,14,8,1,10,77,11
"E00021185",249,51,29,23,4,30,92,20
"E00021186",351,116,39,36,5,37,76,42
"E00021187",198,55,35,17,1,16,54,20
"E00021188",261,93,25,34,4,40,49,16
"E00021189",320,94,31,31,4,41,76,43
"E00021190",405,67,35,45,6,46,181,25
"E00021191",305,86,29,25,2,25,104,34
"E00021192",248,69,27,26,4,19,70,33
"E00021193",314,6,3,12,2,43,226,22
"E00021194",413,97,60,43,2,46,115,50
"E00021195",295,89,36,39,1,27,69,34
"E00021196",251,80,36,33,1,18,56,27
"E00021197",464,65,48,33,7,48,212,51
"E00021198",221,61,25,25,1,26,59,24
"E00021199",144,40,16,23,1,8,47,9
"E00021200",252,65,31,23,1,22,68,42
"E00021201",247,56,29,20,0,19,96,27
"E00021202",191,56,30,20,1,24,44,16
"E00021203",203,61,15,13,5,10,73,26
"E00021204",342,71,48,42,5,38,101,37
"E00021205",254,77,35,22,1,35,51,33
"E00021206",164,59,22,25,2,15,24,17
"E00021207",251,31,5,8,1,12,165,29
"E00021208",233,64,29,26,2,22,70,20
"E00021209",184,51,14,19,1,26,42,31
"E00021210",232,46,28,31,1,42,50,34
"E00021211",302,60,18,31,3,40,100,50
"E00021212",206,49,33,28,1,20,46,29
"E00021213",312,91,30,35,1,31,77,47
