"GeographyCode","QS414EW0001","QS414EW0002","QS414EW0003","QS414EW0004","QS414EW0005"
"E00021141",333,16,90,92,135
"E00021143",393,27,119,79,168
"E00021145",241,14,117,55,55
"E00021146",293,32,154,79,28
"E00021147",205,15,97,37,56
"E00021148",279,17,141,34,87
"E00021149",353,25,78,63,187
"E00021150",298,17,108,47,126
"E00021151",275,15,103,51,106
"E00021152",379,19,119,63,178
"E00021153",341,15,174,55,97
"E00021154",401,18,104,116,163
"E00021155",359,19,152,44,144
"E00021156",237,13,102,22,100
"E00021157",331,10,87,57,177
"E00021158",340,11,72,94,163
"E00021159",571,31,262,101,177
"E00021160",322,22,85,64,151
"E00021161",391,25,197,64,105
"E00021162",375,27,118,72,158
"E00021163",309,25,100,74,110
"E00021164",279,28,77,49,125
"E00021165",338,19,121,61,137
"E00021166",387,31,142,75,139
"E00021167",305,17,104,43,141
"E00021168",374,21,216,66,71
"E00021169",467,35,153,86,193
"E00021170",466,22,112,96,236
"E00021171",660,37,192,135,296
"E00021172",275,26,126,59,64
"E00021173",372,28,146,71,127
"E00021174",228,12,90,26,100
"E00021175",288,27,140,45,76
"E00021176",298,41,135,30,92
"E00021177",425,24,106,60,235
"E00021179",327,17,128,38,144
"E00021180",444,18,128,83,215
"E00021181",230,14,112,39,65
"E00021182",343,21,189,25,108
"E00021183",231,10,131,27,63
"E00021184",169,6,52,38,73
"E00021185",299,24,129,40,106
"E00021186",440,19,122,45,254
"E00021187",307,14,55,45,193
"E00021188",302,16,112,80,94
"E00021189",397,12,141,97,147
"E00021190",452,20,175,93,164
"E00021191",396,16,59,79,242
"E00021192",329,13,77,65,174
"E00021193",323,44,149,54,76
"E00021194",563,11,136,106,310
"E00021195",392,15,86,60,231
"E00021196",381,17,62,56,246
"E00021197",415,42,165,66,142
"E00021198",313,15,70,84,144
"E00021199",182,12,85,19,66
"E00021200",322,10,103,62,147
"E00021201",321,4,98,84,135
"E00021202",285,14,52,38,181
"E00021203",246,14,99,21,112
"E00021204",401,13,113,109,166
"E00021205",336,12,75,73,176
"E00021206",239,6,55,39,139
"E00021207",256,10,115,11,120
"E00021208",299,13,74,65,147
"E00021209",246,6,42,70,128
"E00021210",289,9,62,57,161
"E00021211",372,14,109,51,198
"E00021212",270,5,40,68,157
"E00021213",415,18,113,57,227
"E00021214",442,29,123,60,230
"E00021215",344,41,143,52,108
"E00021216",325,10,140,56,119
"E00021217",452,25,161,56,210
"E00021218",491,63,206,99,123
"E00021219",250,30,99,68,53
"E00021220",348,48,153,43,104
"E00021223",388,50,163,68,107
"E00021224",409,41,184,78,106
"E00021225",292,19,149,60,64
"E00021227",269,18,117,53,81
"E00021228",359,34,140,78,107
"E00021229",309,21,75,56,157
"E00021230",248,38,106,42,62
"E00021231",210,29,92,47,42
"E00021235",368,12,67,76,213
"E00021236",324,15,82,26,201
"E00021238",398,48,187,87,76
"E00021239",286,32,125,63,66
"E00021240",304,37,176,51,40
"E00021241",274,39,132,70,33
"E00021243",398,16,109,63,210
"E00021244",254,7,125,10,112
"E00021245",246,30,105,49,62
"E00021246",517,44,127,88,258
"E00021247",402,26,78,72,226
"E00021248",380,25,84,81,190
"E00021249",329,35,108,114,72
