"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01004211",1463,621,36,0,31,14,5,22,7,10,12,329,23,0,40,27,0,4,2,1,0,0,0,0,24,2,1,0,0,4,0,0,0,3,0,0,0,0,0,6,2,4,1,0,2,2,0,29,1,5,1,3,11,0,27,11,0,3,0,5,7,0,0,0,0,1,0,5,9,4,4,59,0,11,1,0,0,0,8,6,0,2,0,0,0,7,0,0,4,2,0,1,0,1,0
"E01004212",1780,439,32,0,31,12,10,17,4,34,26,541,132,0,53,32,2,22,0,0,0,1,0,0,30,11,0,0,1,0,1,0,1,6,1,0,0,0,0,0,0,29,1,0,5,2,0,26,0,20,0,2,1,0,31,6,0,4,0,0,10,0,4,1,2,0,0,2,11,14,1,80,0,15,0,0,0,0,32,12,0,8,2,0,3,5,0,0,12,0,0,0,0,0,0
"E01004214",1669,554,12,1,18,38,24,22,3,21,10,549,45,1,112,53,0,13,0,7,0,0,0,0,1,19,0,0,1,3,0,0,1,1,0,1,0,0,3,2,0,2,0,0,1,0,0,30,0,5,0,0,2,0,10,1,0,0,0,0,2,0,2,0,2,4,0,5,0,7,0,17,0,14,0,0,0,0,10,1,0,0,0,0,0,7,1,0,31,0,0,0,0,0,0
"E01004215",2756,815,35,0,59,56,19,37,13,129,29,521,236,4,193,44,7,27,2,5,0,0,0,0,27,7,2,0,1,5,0,0,0,5,0,0,0,0,0,1,9,11,3,0,3,0,0,53,8,10,0,1,10,1,34,14,0,2,0,0,28,8,1,2,2,3,0,3,21,48,0,86,0,31,0,1,1,0,14,5,0,6,0,1,5,23,2,1,24,0,0,0,0,2,0
"E01004216",1619,643,23,0,34,15,12,16,8,141,14,152,140,6,45,14,4,17,2,0,0,0,0,0,17,16,1,0,0,3,0,0,0,2,0,0,0,0,0,2,0,5,2,0,1,0,0,34,5,8,3,0,1,2,20,3,0,4,2,0,17,2,1,0,1,1,0,8,9,36,0,53,0,34,1,0,0,0,0,0,0,3,0,0,1,14,1,0,16,3,1,0,0,0,0
"E01004217",1745,823,30,0,21,23,7,16,1,72,10,307,81,4,51,26,0,7,0,0,0,0,1,0,14,16,0,0,0,2,0,1,0,7,1,0,0,0,0,1,0,10,0,0,3,2,0,43,0,2,0,1,5,0,7,5,0,7,0,0,4,8,1,0,0,0,0,0,4,27,0,46,0,26,0,0,1,0,0,1,0,5,0,0,4,0,0,2,8,0,1,0,0,0,0
"E01004218",1750,770,17,0,20,4,16,42,14,82,27,152,89,3,41,33,0,31,1,2,0,0,1,1,26,32,0,0,1,3,0,2,0,0,0,2,0,0,0,5,3,11,5,0,0,0,0,40,2,15,1,2,6,1,13,4,0,5,0,6,6,1,0,0,2,1,0,7,6,40,4,80,0,40,0,0,1,0,0,0,0,1,0,1,2,7,0,1,15,3,0,1,0,0,0
"E01004219",2294,357,24,1,28,22,10,25,8,90,23,899,150,4,159,75,1,28,0,6,0,0,0,1,4,23,1,0,6,3,0,1,0,3,6,1,0,0,0,2,3,12,0,0,2,0,0,38,14,10,0,0,5,0,20,1,0,12,0,0,20,2,0,1,2,6,0,4,7,20,0,40,0,33,4,0,1,0,37,4,0,4,3,0,2,5,2,0,18,1,0,0,0,0,0
"E01004221",1881,731,46,0,24,13,3,25,5,79,19,367,76,0,65,18,7,5,2,0,0,0,0,0,25,9,0,0,1,14,0,1,0,5,0,0,0,1,0,0,0,20,0,0,0,0,0,38,6,9,0,4,17,0,20,4,0,7,0,0,16,0,1,0,2,0,0,0,11,34,0,65,0,31,0,0,3,0,0,18,0,5,0,0,0,13,0,0,4,3,1,6,0,2,0
"E01004222",2480,1163,37,0,12,47,14,26,20,26,14,524,21,3,148,118,19,26,0,2,0,1,0,0,10,7,1,0,0,7,0,1,0,2,0,0,0,0,0,3,1,1,0,0,4,0,0,13,3,3,8,0,0,0,9,1,0,3,2,3,12,1,1,0,3,2,0,5,8,6,0,36,0,9,1,0,0,0,23,22,0,5,1,0,0,10,6,1,18,0,5,0,1,0,1
"E01004223",2079,1002,40,0,19,48,15,20,5,25,5,357,15,1,122,121,4,20,0,0,0,4,0,0,13,9,0,0,2,16,0,1,0,4,0,0,0,2,0,1,0,6,0,0,2,3,0,33,3,2,4,0,1,0,16,2,0,2,1,0,6,1,1,2,1,0,0,1,13,12,0,38,0,14,0,0,0,0,16,6,0,5,0,0,2,9,5,0,0,0,0,0,1,0,0
"E01004224",2000,843,50,7,28,41,14,18,16,26,14,448,40,0,75,85,2,16,0,0,0,0,0,0,8,9,4,0,0,16,0,2,0,0,2,0,0,3,0,0,1,8,0,0,4,5,0,22,0,10,1,0,1,0,23,0,0,2,0,0,9,0,1,2,3,0,2,1,9,20,0,45,0,9,0,0,0,0,15,0,0,3,0,1,3,23,4,0,3,0,3,0,0,0,0
"E01004225",2178,1288,51,1,28,25,13,42,9,59,12,135,36,2,52,36,1,11,2,0,0,0,0,0,26,10,2,0,2,6,0,0,0,9,0,0,0,1,0,4,0,5,0,0,6,0,0,34,8,7,1,0,9,1,31,10,0,4,0,4,19,2,0,0,2,0,0,0,15,14,2,92,0,20,0,1,0,0,4,0,0,1,0,0,3,4,0,0,8,4,3,1,0,0,0
"E01004226",1738,718,20,0,15,35,13,9,7,26,7,475,13,0,78,83,0,16,0,0,0,0,0,0,10,9,1,0,3,8,0,0,0,4,0,0,0,0,0,3,1,7,0,0,0,0,0,18,7,1,0,0,1,0,14,4,0,1,0,0,0,0,2,5,0,0,0,1,2,17,0,43,0,20,0,0,0,0,19,5,0,1,0,0,1,7,1,0,6,0,0,0,1,0,0
"E01004228",1857,1181,51,0,19,33,6,29,9,36,10,126,26,1,24,54,0,21,3,0,0,0,0,1,19,3,0,0,1,4,0,1,0,5,3,0,0,0,1,1,0,5,0,1,2,1,0,36,1,5,2,1,2,0,15,1,0,1,0,0,1,2,1,0,4,0,0,3,16,9,0,44,0,13,0,0,1,0,2,0,0,2,1,0,1,6,3,0,0,2,2,1,1,1,0
"E01004229",1484,555,23,0,10,24,10,7,2,19,11,501,34,0,34,54,0,18,0,0,0,1,0,0,7,1,0,0,3,0,0,1,0,5,0,0,0,0,0,5,0,9,0,0,1,0,0,13,5,2,1,0,0,0,15,0,0,2,0,0,6,4,0,0,4,0,0,1,3,6,1,34,0,13,0,0,0,0,15,9,1,0,0,0,1,2,0,0,9,0,1,1,0,0,0
"E01004230",2101,942,45,2,38,31,15,24,8,39,6,441,33,2,75,88,4,17,1,0,1,1,0,0,17,4,2,0,0,13,0,0,0,3,8,0,0,0,0,1,0,5,0,0,1,0,0,38,12,8,3,0,2,1,20,2,0,1,0,3,2,0,0,0,3,0,0,4,11,7,0,46,0,29,0,0,0,0,19,3,0,4,0,0,0,4,4,0,7,1,0,0,0,0,0
"E01004231",1793,509,16,1,25,43,11,21,10,38,20,681,57,2,71,51,7,5,0,0,0,1,0,0,9,8,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,5,0,0,2,0,0,15,9,5,0,5,2,0,8,2,0,2,0,2,9,0,0,1,0,1,1,2,2,24,0,26,0,11,1,0,0,0,35,11,0,3,0,0,4,5,0,0,4,1,0,0,0,0,0
"E01004232",1665,930,44,1,22,21,12,26,2,44,11,245,38,0,40,22,1,3,0,0,0,0,0,0,17,5,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,4,0,0,1,0,0,25,3,3,1,0,2,0,10,2,0,0,0,0,5,1,0,0,1,3,0,2,12,9,5,53,0,3,2,1,1,0,6,0,0,2,1,2,6,8,0,0,1,0,0,0,0,0,0
"E01004233",1821,708,29,8,32,26,9,11,8,31,10,572,15,0,94,54,12,9,3,0,0,1,1,0,7,4,0,0,0,7,0,0,0,2,5,0,0,0,0,1,0,5,0,0,0,0,0,20,6,3,3,0,4,1,10,1,0,2,2,0,6,1,0,0,3,0,0,0,5,4,1,30,0,8,0,0,1,0,20,0,0,0,0,0,1,19,0,0,5,0,1,0,0,0,0
"E01004234",2218,1378,54,0,25,31,10,49,14,25,2,181,33,5,79,48,1,7,0,0,2,1,0,0,29,1,1,0,8,9,0,0,0,3,1,0,0,0,0,3,0,5,0,0,5,1,0,35,3,1,1,0,4,1,16,6,0,3,0,2,10,1,0,19,1,3,1,0,19,0,0,56,0,8,0,0,0,1,7,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0
"E01004235",1372,248,8,0,5,17,7,6,1,23,11,725,28,3,97,56,3,13,0,0,0,0,0,0,1,5,2,0,0,3,0,1,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,16,0,0,0,1,1,0,6,1,0,1,0,4,7,1,0,1,2,0,0,0,4,1,0,8,0,1,0,0,0,0,9,12,0,1,0,0,2,19,1,0,0,0,1,0,0,1,1
"E01004236",1679,244,11,1,12,25,9,13,3,15,14,982,22,2,94,40,1,9,0,1,0,0,0,0,1,6,0,0,0,5,0,1,0,1,4,0,0,1,0,0,0,2,0,0,1,0,0,11,0,4,0,0,0,0,11,1,0,0,4,0,3,0,0,7,4,4,0,0,2,11,0,18,0,4,0,0,0,0,31,23,0,1,0,0,2,15,0,0,3,0,0,0,0,0,0
"E01004237",1158,338,19,0,9,19,10,16,4,23,6,334,32,3,71,44,1,19,2,5,0,0,0,0,12,18,2,0,0,15,0,0,0,4,0,0,0,0,0,1,0,4,0,0,0,0,0,20,6,1,0,0,0,0,8,3,1,1,0,1,7,1,1,2,2,2,0,0,1,3,5,25,1,13,0,0,0,0,15,5,0,4,0,0,0,3,1,0,3,6,6,0,0,0,0
"E01004238",2733,440,24,0,13,24,20,34,5,82,38,1236,76,7,206,87,15,58,1,0,0,1,0,0,5,14,0,0,0,4,0,5,0,9,2,0,0,0,0,0,2,10,1,0,1,0,0,31,13,6,3,0,1,0,20,6,0,1,3,1,19,3,0,4,4,5,0,0,12,18,1,48,0,49,0,0,0,0,25,1,0,12,0,0,2,14,0,0,10,0,1,0,0,0,0
"E01004239",1649,438,23,2,9,22,7,14,14,26,19,676,54,1,78,78,6,6,1,6,0,0,0,0,6,9,2,0,0,26,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,14,4,1,2,0,0,1,5,0,0,1,4,0,1,0,0,0,1,0,0,0,2,8,1,7,0,7,0,0,0,0,37,4,1,0,0,0,2,3,6,0,8,0,0,0,0,0,0
"E01004240",1815,491,14,6,9,29,14,20,7,11,12,804,29,1,107,57,9,18,0,7,2,1,0,0,1,6,0,2,0,7,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,15,3,1,0,0,1,0,10,0,0,1,0,0,8,1,1,0,0,0,0,1,2,1,0,13,0,7,0,0,0,0,12,1,0,3,0,0,0,9,9,0,35,1,2,0,0,1,0
"E01004241",1621,400,10,4,17,21,4,18,4,17,8,713,48,6,76,53,5,10,0,0,2,0,0,0,2,15,7,0,4,13,0,0,0,1,1,0,0,4,0,2,0,6,1,0,1,0,0,15,6,0,0,0,0,0,4,3,0,0,0,0,2,1,1,0,0,2,0,0,3,4,2,16,0,12,0,1,0,0,41,0,0,0,0,0,0,8,4,0,21,1,1,0,0,0,0
"E01004242",2453,538,20,4,24,30,23,8,7,31,35,1035,76,5,137,102,17,34,0,0,1,0,0,0,14,10,0,0,0,16,0,1,0,2,3,0,4,0,0,2,1,4,0,0,2,0,0,29,1,4,1,0,0,0,10,9,0,1,1,2,16,3,2,1,0,1,0,0,5,13,0,46,0,27,0,0,0,0,38,16,0,11,0,0,1,11,1,0,16,0,1,0,0,0,0
"E01004243",1789,463,8,0,9,33,21,8,3,17,16,770,35,1,85,69,2,25,2,2,0,10,0,0,5,11,0,0,0,4,0,0,0,7,3,0,0,0,0,0,0,7,0,0,0,0,0,31,2,0,0,0,3,0,6,1,0,2,1,0,5,1,0,2,6,1,1,0,6,12,1,24,0,7,0,0,0,0,22,12,0,0,0,0,2,11,0,0,14,0,0,0,0,0,0
"E01004244",1885,567,28,0,16,24,10,12,6,24,7,707,32,2,142,61,4,17,0,2,0,4,0,0,4,14,0,0,0,20,0,0,0,8,3,2,0,0,0,1,0,7,0,0,1,0,0,28,0,3,3,0,0,1,6,1,0,2,1,1,4,0,1,0,0,0,0,10,11,3,1,13,0,2,0,0,0,0,27,2,0,3,0,0,0,7,0,0,29,0,0,0,0,0,1
"E01004245",1539,268,4,6,5,34,11,5,5,14,34,821,19,4,98,28,7,10,2,3,8,0,0,0,0,10,1,0,0,7,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,11,3,1,1,0,2,0,4,1,0,0,0,0,0,0,0,0,2,0,2,2,0,4,0,11,0,3,0,0,0,0,37,17,1,0,0,0,3,10,2,0,8,0,1,0,0,0,0
"E01004246",1977,719,25,1,23,36,12,19,4,38,23,546,64,3,76,48,5,14,0,0,7,0,0,1,6,15,1,0,5,8,1,0,0,13,3,0,0,0,0,1,0,4,0,0,0,0,0,30,25,3,1,0,0,0,14,0,0,7,0,0,12,5,0,5,3,0,0,1,5,31,0,35,0,26,0,0,0,0,5,3,0,2,1,0,2,24,0,1,15,0,0,0,0,0,0
"E01004247",1934,515,18,0,27,37,6,12,7,49,10,721,75,1,101,41,2,15,1,11,0,0,0,0,5,13,2,1,1,10,0,0,0,9,1,0,0,0,0,0,0,22,0,0,0,0,3,25,3,2,1,0,1,0,21,0,1,0,0,3,2,3,0,3,1,2,0,1,3,28,0,26,0,21,0,0,0,0,33,3,0,7,0,0,0,16,0,0,10,2,0,0,0,0,0
"E01004248",1344,332,15,0,2,43,8,8,1,12,13,599,25,0,86,76,1,9,3,1,0,0,0,0,0,0,0,0,1,9,0,0,0,1,2,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,4,0,10,0,8,0,0,0,0,16,0,1,0,0,0,0,12,3,0,23,0,1,2,0,0,0
"E01004249",2049,494,12,4,23,37,29,10,5,38,6,792,38,3,184,72,2,21,7,1,0,0,0,0,4,7,0,0,0,14,0,0,0,3,2,0,0,0,1,0,0,12,0,0,5,0,0,28,2,4,0,0,2,0,6,0,0,0,0,2,4,3,0,0,0,0,0,0,3,25,0,25,0,28,0,0,0,0,29,6,0,2,0,0,0,26,1,0,27,0,0,0,0,0,0
"E01004250",2342,764,15,1,9,50,10,12,3,16,23,883,63,8,142,87,5,15,0,4,1,0,0,0,7,20,2,0,0,14,0,0,0,5,2,0,0,0,0,2,2,8,0,0,0,0,0,10,8,5,0,0,1,0,7,0,0,1,4,0,7,1,0,4,2,7,0,5,4,9,0,26,0,16,0,0,0,0,19,0,0,0,0,0,0,10,0,0,19,1,2,0,0,0,1
"E01004251",2082,566,22,1,21,25,25,20,4,37,14,892,40,4,72,43,0,11,0,9,0,1,0,0,4,7,0,0,0,10,0,0,0,3,0,2,0,0,0,0,3,15,1,0,4,0,0,17,9,0,1,0,4,0,13,3,0,0,4,0,9,0,0,8,0,0,0,2,2,13,0,35,0,20,0,0,0,0,29,5,0,1,0,0,1,9,2,0,32,1,2,0,0,4,0
"E01004252",2707,698,31,1,40,44,9,28,5,59,32,965,85,5,150,90,9,37,3,5,0,1,1,0,11,15,0,0,4,8,0,1,0,7,2,4,0,2,0,3,2,10,1,3,1,0,0,43,11,11,0,0,1,0,31,2,0,5,0,4,8,4,1,5,5,0,0,9,7,32,4,78,0,22,0,0,1,0,19,6,2,5,1,0,5,3,1,0,6,2,0,1,0,0,0
"E01004253",2340,739,26,0,21,25,33,22,8,55,32,772,72,11,131,76,4,20,0,1,0,3,0,1,4,20,0,0,5,11,0,1,0,6,0,0,0,0,0,0,1,7,0,0,0,0,3,30,2,4,3,0,1,1,18,0,0,2,0,0,7,0,0,9,2,1,0,1,2,32,0,30,0,20,0,0,0,0,24,1,0,1,0,4,1,21,1,0,12,0,0,0,0,0,0
"E01004254",2120,875,49,0,33,14,4,20,7,94,10,236,142,5,66,17,4,30,1,0,0,1,0,0,38,16,0,2,1,2,0,5,1,13,0,0,1,0,1,3,0,31,0,0,0,0,0,56,2,13,0,1,4,1,39,2,0,7,1,0,8,1,1,0,2,0,0,1,20,26,0,135,0,29,0,0,0,0,4,0,0,6,3,0,5,25,0,0,5,0,0,0,0,1,0
"E01004255",1618,317,26,0,14,12,14,9,2,52,13,661,85,1,81,37,3,16,0,3,2,0,0,1,9,6,0,1,0,5,2,0,0,2,2,2,0,2,0,0,2,16,0,1,1,0,0,37,2,3,2,0,1,0,17,2,0,6,5,2,3,0,1,2,6,0,0,0,1,14,1,31,0,12,0,0,0,0,19,7,0,4,1,0,0,13,0,1,22,2,0,0,0,1,0
"E01004256",1729,448,16,1,24,17,4,5,1,18,4,799,47,7,69,26,1,9,1,1,0,0,0,0,3,22,0,0,0,7,0,0,0,7,1,0,0,0,0,0,0,17,0,0,2,0,0,30,6,4,1,4,4,0,14,2,0,4,2,1,20,2,0,0,1,0,0,1,0,11,0,26,0,11,0,0,0,0,7,0,0,0,0,0,3,11,2,0,3,1,1,0,0,0,0
"E01004257",1884,444,16,0,19,28,18,27,2,16,21,821,37,7,110,48,4,10,0,8,0,1,0,0,4,24,2,0,2,9,0,0,0,1,9,1,0,0,0,0,0,1,0,0,0,1,0,19,2,2,0,0,0,0,14,2,0,0,6,2,3,0,1,0,1,0,0,3,7,17,0,24,0,22,0,0,0,0,23,7,0,1,1,0,1,6,0,0,29,0,0,0,0,0,0
"E01004258",1506,679,35,0,25,13,5,32,4,34,6,238,64,2,60,33,0,13,0,2,0,0,0,1,23,6,0,0,0,0,0,0,0,5,4,0,1,0,0,4,0,8,0,0,0,0,0,21,1,10,0,0,2,0,13,2,0,6,0,0,2,1,0,0,0,4,0,1,11,14,1,77,0,13,4,0,0,0,0,0,0,1,0,0,0,9,2,1,12,0,1,0,0,0,0
"E01004259",1723,763,33,0,22,17,15,40,3,35,10,338,22,0,49,29,0,23,1,0,0,0,0,2,29,7,0,0,1,5,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,0,37,13,6,1,1,3,0,27,4,0,3,0,0,17,1,0,2,1,0,0,0,13,7,0,83,0,9,2,1,0,0,7,1,0,5,0,0,5,7,1,2,11,0,0,0,1,0,0
"E01004260",1790,525,30,0,29,14,10,20,8,23,15,673,26,2,63,27,2,15,4,3,0,2,0,0,10,12,1,0,0,1,0,0,0,11,0,3,1,0,0,1,0,9,0,0,0,0,0,23,7,3,0,0,1,1,27,3,0,3,0,21,17,0,0,0,4,0,0,0,8,9,5,46,0,19,0,0,2,0,33,8,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0
"E01004261",2525,682,26,5,30,12,11,30,4,79,70,766,152,6,112,30,3,37,5,0,0,2,0,1,16,12,0,0,0,1,0,0,1,5,8,0,0,1,0,0,2,27,0,0,10,2,0,24,5,24,3,3,13,0,29,8,0,14,1,1,9,7,0,1,7,3,1,0,14,31,6,76,0,10,0,0,2,2,13,10,1,24,3,2,8,4,3,0,9,2,2,0,0,0,2
