"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E00021207",256,89,26,63,117,2,41,26,12,0,3,0,0,0,0,0,69,66,3,0,0,5,2,3,0,50,0,0,0,0,50
"E00021208",299,36,5,31,161,2,107,12,20,56,19,2,2,0,0,0,11,6,0,0,5,39,12,19,8,102,20,30,16,0,36
"E00021209",246,18,4,14,113,0,83,4,22,46,11,0,0,0,0,0,8,8,0,0,0,22,4,10,8,115,20,45,9,0,41
"E00021210",289,19,4,15,134,0,106,6,26,48,26,0,0,0,0,0,6,2,0,0,4,22,2,9,11,136,22,71,10,0,33
"E00021211",372,41,7,34,176,0,122,10,18,69,25,0,0,0,0,0,30,22,3,5,0,24,6,8,10,155,9,38,7,0,101
"E00021212",270,14,5,9,153,2,113,0,21,73,19,0,0,0,0,0,7,0,3,4,0,31,4,20,7,103,17,22,0,0,64
"E00021213",415,38,10,28,206,4,151,10,25,97,19,0,0,0,0,0,11,0,6,5,0,40,10,11,19,171,17,68,2,0,84
"E00021214",442,44,6,38,253,8,164,12,20,120,12,2,2,0,0,0,25,16,3,0,6,54,17,19,18,145,10,33,16,4,82
"E00021215",344,85,8,77,131,2,70,22,26,19,3,2,2,0,0,0,52,46,6,0,0,5,2,3,0,128,8,0,28,0,92
"E00021216",325,99,5,94,162,2,89,10,17,55,7,4,4,0,0,0,20,10,0,4,6,47,12,25,10,64,3,17,5,0,39
"E00021217",452,122,8,114,217,2,149,16,16,111,6,0,0,0,0,0,26,26,0,0,0,40,16,20,4,113,0,34,28,2,49
"E00021218",491,44,8,36,309,8,197,66,46,77,8,2,2,0,0,0,58,40,9,9,0,44,24,14,6,138,10,12,12,0,104
"E00021219",250,31,14,17,168,12,93,22,15,27,29,0,0,0,0,0,20,14,3,0,3,43,15,14,14,51,14,0,2,0,35
"E00021220",348,73,6,67,221,0,147,62,42,40,3,4,4,0,0,0,45,34,6,5,0,25,13,10,2,54,4,4,13,0,33
"E00021223",388,70,4,66,216,0,92,38,29,21,4,2,2,0,0,0,91,80,3,8,0,31,13,8,10,102,11,0,2,0,89
"E00021224",409,54,13,41,211,2,115,32,19,42,22,2,2,0,0,0,33,14,3,16,0,59,16,19,24,144,23,19,7,0,95
"E00021225",292,62,24,38,186,10,82,26,15,35,6,0,0,0,0,0,40,30,10,0,0,54,13,29,12,44,4,0,0,2,38
"E00021227",269,40,11,29,179,6,119,28,29,38,24,0,0,0,0,0,25,10,3,12,0,29,18,3,8,50,7,0,5,0,38
"E00021228",359,43,19,24,209,8,137,16,15,54,52,0,0,0,0,0,19,4,3,12,0,45,8,17,20,107,21,28,9,2,47
"E00021229",309,42,7,35,178,4,101,4,3,85,9,0,0,0,0,0,13,2,3,8,0,60,22,22,16,89,17,22,3,0,47
"E00021230",248,53,12,41,155,10,98,38,16,34,10,2,2,0,0,0,31,22,9,0,0,14,6,0,8,40,6,6,2,0,26
"E00021231",210,74,20,54,111,6,51,6,15,14,16,4,4,0,0,0,27,12,3,9,3,23,8,7,8,25,8,0,0,0,17
"E00021235",368,20,4,16,279,2,179,12,31,117,19,0,0,0,0,0,10,4,0,6,0,88,18,49,21,69,31,28,0,0,10
"E00021236",324,44,6,38,210,0,140,22,27,91,0,2,2,0,0,0,38,22,7,9,0,30,18,8,4,70,10,9,2,0,49
"E00021238",398,46,1,45,180,4,113,64,25,21,3,4,4,0,0,0,51,42,0,9,0,8,2,6,0,172,6,9,12,0,145
"E00021239",286,48,0,48,185,0,135,68,28,36,3,4,4,0,0,0,36,26,6,4,0,10,2,0,8,53,3,0,3,0,47
"E00021240",304,64,3,61,137,0,73,42,12,16,3,0,0,0,0,0,42,38,0,4,0,22,4,8,10,103,7,0,6,0,90
"E00021241",274,30,6,24,94,2,71,30,21,17,3,2,2,0,0,0,14,14,0,0,0,5,2,3,0,150,3,12,19,0,116
"E00021243",398,37,3,34,278,2,149,30,12,95,12,3,0,0,0,3,44,16,0,25,3,80,24,43,13,83,9,35,6,0,33
"E00021244",254,96,34,62,143,6,82,16,15,51,0,2,2,0,0,0,10,6,0,4,0,43,25,14,4,15,0,0,0,2,13
"E00021245",246,45,17,28,151,8,44,12,3,14,15,0,0,0,0,0,23,6,0,11,6,76,25,33,18,50,0,12,3,0,35
"E00021246",517,49,6,43,324,6,178,40,23,84,31,0,0,0,0,0,63,30,3,24,6,77,11,48,18,144,13,77,3,0,51
"E00021247",402,22,7,15,299,2,194,8,22,132,32,0,0,0,0,0,12,4,4,4,0,91,18,58,15,81,29,17,3,0,32
"E00021248",380,29,5,24,291,0,178,12,33,126,7,0,0,0,0,0,32,8,6,18,0,81,24,49,8,60,14,19,2,0,25
"E00021249",329,27,4,23,256,10,111,16,16,61,18,0,0,0,0,0,33,0,3,17,13,102,17,45,40,46,14,15,0,0,17
"E00021251",292,42,9,33,171,4,101,8,37,43,13,0,0,0,0,0,7,4,3,0,0,59,22,20,17,79,24,12,0,4,39
"E00021252",267,40,2,38,117,0,71,34,21,13,3,2,2,0,0,0,24,18,6,0,0,20,6,10,4,110,0,10,8,0,92
"E00021253",304,78,6,72,133,0,83,18,8,48,9,0,0,0,0,0,16,8,0,8,0,34,12,14,8,93,30,33,0,0,30
"E00021254",237,33,1,32,112,0,84,24,21,36,3,2,2,0,0,0,22,14,3,5,0,4,4,0,0,92,4,5,7,0,76
"E00021255",221,37,0,37,126,0,79,24,36,16,3,5,2,0,0,3,33,26,3,4,0,9,4,3,2,58,3,0,2,0,53
"E00021256",242,24,2,22,126,0,82,20,27,26,9,2,2,0,0,0,31,28,3,0,0,11,2,3,6,92,6,0,25,0,61
"E00021257",242,28,2,26,129,0,85,30,26,20,9,2,2,0,0,0,25,16,9,0,0,17,10,3,4,85,22,16,4,3,40
"E00021258",360,39,23,16,232,6,139,8,30,83,18,0,0,0,0,0,16,4,3,9,0,71,26,27,18,89,11,31,9,6,32
