"GeographyCode","QS302EW0001","QS302EW0002","QS302EW0003","QS302EW0004","QS302EW0005","QS302EW0006"
"E02000864",8297,3785,2747,1106,469,190
"E02000865",7051,3314,2328,875,399,135
"E02000866",9662,4972,3115,1039,403,133
"E02000867",9761,5132,3250,898,360,121
"E02000868",6632,3488,2025,716,292,111
"E02000869",5705,2734,1862,682,306,121
"E02000870",6477,3145,2117,789,319,107
"E02000871",8591,3973,2944,1091,420,163
"E02000872",7501,3812,2442,782,355,110
"E02000873",8713,4538,2902,804,352,117
"E02000874",7129,3396,2403,821,369,140
"E02000875",9440,4481,3187,1129,456,187
"E02000876",7037,3382,2363,779,375,138
"E02000877",9803,4875,3171,1130,431,196
"E02000878",10286,5379,3209,1030,472,196
"E02000879",7634,3540,2503,965,450,176
"E02000880",5776,2752,1952,670,290,112
"E02000881",6909,3200,2343,879,359,128
"E02000882",8604,4135,2803,1012,487,167
"E02000883",7950,3579,2637,1081,461,192
"E02000884",9086,4880,2878,844,362,122
"E02000885",6895,3005,2363,944,422,161
"E02000886",7326,3810,2427,665,308,116
"E02000887",8660,4061,2956,1083,423,137
"E02000888",8215,4400,2603,802,308,102
"E02000889",6616,3421,2210,633,261,91
"E02000890",5795,3370,1821,408,142,54
"E02000891",12678,7196,4096,964,316,106
"E02000893",6783,3372,2240,770,302,99
"E02000894",10137,5789,3305,731,234,78
"E02006853",7064,3950,2222,611,204,77
"E02006854",5883,3602,1785,329,121,46
