"GeographyCode","KS401EW0001","KS401EW0002","KS401EW0003","KS401EW0004","KS401EW0005","KS401EW0006","KS401EW0007","KS401EW0008","KS401EW0009","KS401EW0010","KS401EW0011","KS401EW0012","KS401EW0013","KS401EW0014","KS401EW0015","KS401EW0016","KS401EW0017","KS401EW0018","KS401EW0019","KS401EW0020","KS401EW0021","KS401EW0022","KS401EW0023","KS401EW0024","KS401EW0025","KS401EW0026"
"E00021141",118,118,0,0,118,117,1,3,12,31,70,1,1,0,100,0,0,99.1525423728814,0.847457627118644,2.54237288135593,10.1694915254237,26.271186440678,59.3220338983051,0.847457627118644,0.847457627118644,0
"E00021143",138,138,0,0,138,138,0,2,3,1,128,1,3,0,100,0,0,100,0,1.44927536231884,2.17391304347826,0.72463768115942,92.7536231884058,0.72463768115942,2.17391304347826,0
"E00021145",104,104,0,0,104,104,0,0,2,17,17,68,0,0,100,0,0,100,0,0,1.92307692307692,16.3461538461538,16.3461538461538,65.3846153846154,0,0
"E00021146",147,147,0,0,147,143,4,0,1,12,115,13,6,0,100,0,0,97.2789115646258,2.72108843537415,0,0.680272108843537,8.16326530612245,78.2312925170068,8.84353741496599,4.08163265306122,0
"E00021147",88,88,0,0,88,83,5,4,3,32,9,40,0,0,100,0,0,94.3181818181818,5.68181818181818,4.54545454545455,3.40909090909091,36.3636363636364,10.2272727272727,45.4545454545455,0,0
"E00021148",122,122,0,0,122,119,3,2,1,20,95,4,0,0,100,0,0,97.5409836065574,2.45901639344262,1.63934426229508,0.819672131147541,16.3934426229508,77.8688524590164,3.27868852459016,0,0
"E00021149",127,127,0,0,127,126,1,0,0,4,116,4,3,0,100,0,0,99.2125984251969,0.78740157480315,0,0,3.1496062992126,91.3385826771654,3.1496062992126,2.36220472440945,0
"E00021150",118,118,0,0,118,116,2,0,0,1,114,3,0,0,100,0,0,98.3050847457627,1.69491525423729,0,0,0.847457627118644,96.6101694915254,2.54237288135593,0,0
"E00021151",114,114,0,0,114,113,1,0,0,2,110,2,0,0,100,0,0,99.1228070175439,0.87719298245614,0,0,1.75438596491228,96.4912280701754,1.75438596491228,0,0
"E00021152",139,139,0,0,139,138,1,4,4,7,122,1,1,0,100,0,0,99.2805755395683,0.719424460431655,2.87769784172662,2.87769784172662,5.03597122302158,87.7697841726619,0.719424460431655,0.719424460431655,0
"E00021153",150,150,0,0,150,149,1,2,4,49,62,24,9,0,100,0,0,99.3333333333333,0.666666666666667,1.33333333333333,2.66666666666667,32.6666666666667,41.3333333333333,16,6,0
"E00021154",122,122,0,0,122,121,1,3,6,20,87,6,0,0,100,0,0,99.1803278688525,0.819672131147541,2.45901639344262,4.91803278688525,16.3934426229508,71.3114754098361,4.91803278688525,0,0
"E00021155",169,167,0,2,173,172,1,0,2,1,114,43,13,0,98.8165680473373,0,1.18343195266272,99.4219653179191,0.578034682080925,0,1.15606936416185,0.578034682080925,65.8959537572254,24.8554913294798,7.51445086705202,0
"E00021156",132,131,0,1,135,133,2,1,1,2,116,5,10,0,99.2424242424242,0,0.757575757575758,98.5185185185185,1.48148148148148,0.740740740740741,0.740740740740741,1.48148148148148,85.9259259259259,3.7037037037037,7.40740740740741,0
"E00021157",106,106,0,0,106,106,0,1,0,1,104,0,0,0,100,0,0,100,0,0.943396226415094,0,0.943396226415094,98.1132075471698,0,0,0
"E00021158",104,101,2,1,108,107,1,0,0,1,105,1,1,0,97.1153846153846,1.92307692307692,0.961538461538462,99.0740740740741,0.925925925925926,0,0,0.925925925925926,97.2222222222222,0.925925925925926,0.925925925925926,0
"E00021159",247,247,0,0,247,246,1,3,6,8,226,4,0,0,100,0,0,99.5951417004049,0.404858299595142,1.21457489878543,2.42914979757085,3.23886639676113,91.497975708502,1.61943319838057,0,0
"E00021160",109,108,0,1,113,112,1,2,1,3,107,0,0,0,99.0825688073395,0,0.917431192660551,99.1150442477876,0.884955752212389,1.76991150442478,0.884955752212389,2.65486725663717,94.6902654867257,0,0,0
"E00021161",156,156,0,0,156,154,2,0,1,7,147,1,0,0,100,0,0,98.7179487179487,1.28205128205128,0,0.641025641025641,4.48717948717949,94.2307692307692,0.641025641025641,0,0
"E00021162",119,118,0,1,121,121,0,1,0,2,115,3,0,0,99.1596638655462,0,0.840336134453782,100,0,0.826446280991736,0,1.65289256198347,95.0413223140496,2.47933884297521,0,0
"E00021163",120,120,0,0,120,119,1,2,2,5,100,11,0,0,100,0,0,99.1666666666667,0.833333333333333,1.66666666666667,1.66666666666667,4.16666666666667,83.3333333333333,9.16666666666667,0,0
"E00021164",128,128,0,0,128,128,0,0,0,0,125,3,0,0,100,0,0,100,0,0,0,0,97.65625,2.34375,0,0
"E00021165",121,120,0,1,123,122,1,2,1,7,110,2,1,0,99.1735537190083,0,0.826446280991736,99.1869918699187,0.813008130081301,1.6260162601626,0.813008130081301,5.69105691056911,89.4308943089431,1.6260162601626,0.813008130081301,0
"E00021166",127,127,0,0,127,126,1,1,2,3,118,3,0,0,100,0,0,99.2125984251969,0.78740157480315,0.78740157480315,1.5748031496063,2.36220472440945,92.9133858267717,2.36220472440945,0,0
"E00021167",119,118,0,1,130,128,2,0,3,4,98,13,12,0,99.1596638655462,0,0.840336134453782,98.4615384615385,1.53846153846154,0,2.30769230769231,3.07692307692308,75.3846153846154,10,9.23076923076923,0
"E00021168",177,177,0,0,177,169,8,2,1,15,117,13,29,0,100,0,0,95.4802259887006,4.51977401129944,1.12994350282486,0.564971751412429,8.47457627118644,66.1016949152542,7.34463276836158,16.3841807909604,0
"E00021169",190,190,0,0,190,189,1,2,0,2,179,5,2,0,100,0,0,99.4736842105263,0.526315789473684,1.05263157894737,0,1.05263157894737,94.2105263157895,2.63157894736842,1.05263157894737,0
"E00021170",163,163,0,0,163,162,1,0,0,1,158,3,1,0,100,0,0,99.3865030674847,0.613496932515337,0,0,0.613496932515337,96.9325153374233,1.84049079754601,0.613496932515337,0
"E00021171",242,242,0,0,242,241,1,1,11,20,187,18,5,0,100,0,0,99.5867768595041,0.413223140495868,0.413223140495868,4.54545454545455,8.26446280991736,77.2727272727273,7.43801652892562,2.06611570247934,0
"E00021172",126,126,0,0,126,125,1,2,3,60,24,37,0,0,100,0,0,99.2063492063492,0.793650793650794,1.58730158730159,2.38095238095238,47.6190476190476,19.047619047619,29.3650793650794,0,0
"E00021173",146,146,0,0,146,146,0,1,3,19,115,8,0,0,100,0,0,100,0,0.684931506849315,2.05479452054794,13.013698630137,78.7671232876712,5.47945205479452,0,0
"E00021174",130,130,0,0,130,128,2,0,0,0,129,1,0,0,100,0,0,98.4615384615385,1.53846153846154,0,0,0,99.2307692307692,0.769230769230769,0,0
"E00021175",126,125,0,1,129,127,2,3,0,1,123,2,0,0,99.2063492063492,0,0.793650793650794,98.4496124031008,1.55038759689922,2.32558139534884,0,0.775193798449612,95.3488372093023,1.55038759689922,0,0
"E00021176",152,152,0,0,152,151,1,1,3,17,129,2,0,0,100,0,0,99.3421052631579,0.657894736842105,0.657894736842105,1.97368421052632,11.1842105263158,84.8684210526316,1.31578947368421,0,0
"E00021177",131,130,0,1,136,134,2,1,2,0,133,0,0,0,99.236641221374,0,0.763358778625954,98.5294117647059,1.47058823529412,0.735294117647059,1.47058823529412,0,97.7941176470588,0,0,0
"E00021179",145,145,0,0,145,140,5,0,0,13,123,7,2,0,100,0,0,96.551724137931,3.44827586206897,0,0,8.96551724137931,84.8275862068966,4.82758620689655,1.37931034482759,0
"E00021180",174,174,0,0,174,168,6,1,2,2,162,5,2,0,100,0,0,96.551724137931,3.44827586206897,0.574712643678161,1.14942528735632,1.14942528735632,93.1034482758621,2.8735632183908,1.14942528735632,0
"E00021181",109,109,0,0,109,107,2,0,1,2,86,6,13,1,100,0,0,98.1651376146789,1.8348623853211,0,0.917431192660551,1.8348623853211,78.8990825688073,5.5045871559633,11.9266055045872,0.917431192660551
"E00021182",163,162,0,1,171,169,2,3,5,27,62,32,42,0,99.3865030674847,0,0.613496932515337,98.8304093567251,1.16959064327485,1.75438596491228,2.92397660818713,15.7894736842105,36.2573099415205,18.7134502923977,24.5614035087719,0
"E00021183",138,137,1,0,139,135,4,0,0,2,133,4,0,0,99.2753623188406,0.72463768115942,0,97.1223021582734,2.87769784172662,0,0,1.43884892086331,95.6834532374101,2.87769784172662,0,0
"E00021184",69,69,0,0,69,69,0,0,2,1,64,2,0,0,100,0,0,100,0,0,2.89855072463768,1.44927536231884,92.7536231884058,2.89855072463768,0,0
"E00021185",134,134,0,0,134,131,3,7,7,33,33,54,0,0,100,0,0,97.7611940298508,2.23880597014925,5.22388059701492,5.22388059701492,24.6268656716418,24.6268656716418,40.2985074626866,0,0
"E00021186",158,157,0,1,160,156,4,2,1,4,153,0,0,0,99.3670886075949,0,0.632911392405063,97.5,2.5,1.25,0.625,2.5,95.625,0,0,0
"E00021187",98,97,0,1,100,97,3,0,0,1,95,1,3,0,98.9795918367347,0,1.02040816326531,97,3,0,0,1,95,1,3,0
"E00021188",113,111,0,2,121,120,1,4,3,33,58,23,0,0,98.2300884955752,0,1.76991150442478,99.1735537190083,0.826446280991736,3.30578512396694,2.47933884297521,27.2727272727273,47.9338842975207,19.0082644628099,0,0
"E00021189",124,124,0,0,124,122,2,1,1,16,100,5,1,0,100,0,0,98.3870967741936,1.61290322580645,0.806451612903226,0.806451612903226,12.9032258064516,80.6451612903226,4.03225806451613,0.806451612903226,0
"E00021190",166,165,0,1,169,161,8,2,2,23,128,4,10,0,99.3975903614458,0,0.602409638554217,95.2662721893491,4.73372781065089,1.18343195266272,1.18343195266272,13.6094674556213,75.7396449704142,2.36686390532544,5.91715976331361,0
"E00021191",127,127,0,0,127,124,3,1,0,1,101,22,2,0,100,0,0,97.6377952755905,2.36220472440945,0.78740157480315,0,0.78740157480315,79.5275590551181,17.3228346456693,1.5748031496063,0
"E00021192",114,113,0,1,118,113,5,0,0,2,113,3,0,0,99.1228070175439,0,0.87719298245614,95.7627118644068,4.23728813559322,0,0,1.69491525423729,95.7627118644068,2.54237288135593,0,0
"E00021193",180,179,0,1,183,182,1,1,0,2,146,20,14,0,99.4444444444444,0,0.555555555555556,99.4535519125683,0.546448087431694,0.546448087431694,0,1.09289617486339,79.7814207650273,10.9289617486339,7.65027322404372,0
"E00021194",173,171,1,1,178,176,2,3,5,23,144,2,1,0,98.8439306358381,0.578034682080925,0.578034682080925,98.876404494382,1.12359550561798,1.68539325842697,2.80898876404494,12.9213483146067,80.8988764044944,1.12359550561798,0.561797752808989,0
"E00021195",109,109,0,0,109,108,1,0,2,3,101,2,1,0,100,0,0,99.0825688073395,0.917431192660551,0,1.8348623853211,2.75229357798165,92.6605504587156,1.8348623853211,0.917431192660551,0
"E00021196",114,113,1,0,115,114,1,0,1,1,113,0,0,0,99.1228070175439,0.87719298245614,0,99.1304347826087,0.869565217391304,0,0.869565217391304,0.869565217391304,98.2608695652174,0,0,0
"E00021197",224,222,0,2,229,215,14,3,7,29,175,12,2,1,99.1071428571429,0,0.892857142857143,93.8864628820961,6.11353711790393,1.31004366812227,3.05676855895197,12.6637554585153,76.4192139737991,5.24017467248908,0.873362445414847,0.436681222707424
"E00021198",91,90,0,1,93,92,1,0,0,5,85,1,2,0,98.9010989010989,0,1.0989010989011,98.9247311827957,1.0752688172043,0,0,5.37634408602151,91.3978494623656,1.0752688172043,2.1505376344086,0
"E00021199",112,112,0,0,112,111,1,0,0,0,106,5,1,0,100,0,0,99.1071428571429,0.892857142857143,0,0,0,94.6428571428571,4.46428571428571,0.892857142857143,0
"E00021200",108,107,0,1,113,107,6,0,2,1,103,5,2,0,99.0740740740741,0,0.925925925925926,94.6902654867257,5.30973451327434,0,1.76991150442478,0.884955752212389,91.1504424778761,4.42477876106195,1.76991150442478,0
"E00021201",109,109,0,0,109,107,2,1,5,17,85,1,0,0,100,0,0,98.1651376146789,1.8348623853211,0.917431192660551,4.58715596330275,15.5963302752294,77.9816513761468,0.917431192660551,0,0
"E00021202",92,91,1,0,93,92,1,5,2,10,75,0,1,0,98.9130434782609,1.08695652173913,0,98.9247311827957,1.0752688172043,5.37634408602151,2.1505376344086,10.752688172043,80.6451612903226,0,1.0752688172043,0
"E00021203",104,103,0,1,107,104,3,2,0,1,95,9,0,0,99.0384615384615,0,0.961538461538462,97.196261682243,2.80373831775701,1.86915887850467,0,0.934579439252336,88.785046728972,8.41121495327103,0,0
"E00021204",136,135,0,1,147,145,2,4,13,38,72,16,4,0,99.2647058823529,0,0.735294117647059,98.6394557823129,1.36054421768707,2.72108843537415,8.84353741496599,25.8503401360544,48.9795918367347,10.8843537414966,2.72108843537415,0
"E00021205",93,90,0,3,102,100,2,0,4,10,84,4,0,0,96.7741935483871,0,3.2258064516129,98.0392156862745,1.96078431372549,0,3.92156862745098,9.80392156862745,82.3529411764706,3.92156862745098,0,0
"E00021206",79,79,0,0,79,78,1,0,0,0,78,1,0,0,100,0,0,98.7341772151899,1.26582278481013,0,0,0,98.7341772151899,1.26582278481013,0,0
"E00021207",171,171,0,0,171,164,7,0,0,3,149,16,3,0,100,0,0,95.906432748538,4.09356725146199,0,0,1.75438596491228,87.1345029239766,9.35672514619883,1.75438596491228,0
"E00021208",109,109,0,0,109,108,1,1,2,10,94,2,0,0,100,0,0,99.0825688073395,0.917431192660551,0.917431192660551,1.8348623853211,9.1743119266055,86.2385321100918,1.8348623853211,0,0
"E00021209",76,76,0,0,76,72,4,1,1,0,72,1,1,0,100,0,0,94.7368421052632,5.26315789473684,1.31578947368421,1.31578947368421,0,94.7368421052632,1.31578947368421,1.31578947368421,0
"E00021210",79,79,0,0,79,78,1,1,5,19,53,1,0,0,100,0,0,98.7341772151899,1.26582278481013,1.26582278481013,6.32911392405063,24.0506329113924,67.0886075949367,1.26582278481013,0,0
"E00021211",132,131,0,1,136,135,1,1,2,0,115,18,0,0,99.2424242424242,0,0.757575757575758,99.2647058823529,0.735294117647059,0.735294117647059,1.47058823529412,0,84.5588235294118,13.2352941176471,0,0
"E00021212",77,77,0,0,77,75,2,0,4,4,67,2,0,0,100,0,0,97.4025974025974,2.5974025974026,0,5.19480519480519,5.19480519480519,87.012987012987,2.5974025974026,0,0
"E00021213",134,133,0,1,137,132,5,1,2,6,124,4,0,0,99.2537313432836,0,0.746268656716418,96.3503649635037,3.64963503649635,0.72992700729927,1.45985401459854,4.37956204379562,90.5109489051095,2.91970802919708,0,0
"E00021214",162,161,0,1,164,156,8,1,1,4,148,7,3,0,99.3827160493827,0,0.617283950617284,95.1219512195122,4.8780487804878,0.609756097560976,0.609756097560976,2.4390243902439,90.2439024390244,4.26829268292683,1.82926829268293,0
"E00021215",184,183,1,0,185,181,4,3,7,52,107,11,5,0,99.4565217391304,0.543478260869565,0,97.8378378378378,2.16216216216216,1.62162162162162,3.78378378378378,28.1081081081081,57.8378378378378,5.94594594594595,2.7027027027027,0
"E00021216",177,176,0,1,179,163,16,0,2,2,167,6,2,0,99.4350282485876,0,0.564971751412429,91.0614525139665,8.93854748603352,0,1.11731843575419,1.11731843575419,93.2960893854749,3.35195530726257,1.11731843575419,0
"E00021217",254,252,0,2,258,225,33,1,2,4,235,14,2,0,99.2125984251969,0,0.78740157480315,87.2093023255814,12.7906976744186,0.387596899224806,0.775193798449612,1.55038759689922,91.0852713178295,5.42635658914729,0.775193798449612,0
"E00021218",210,210,0,0,210,201,9,8,26,81,94,0,1,0,100,0,0,95.7142857142857,4.28571428571429,3.80952380952381,12.3809523809524,38.5714285714286,44.7619047619048,0,0.476190476190476,0
"E00021219",110,110,0,0,110,107,3,3,18,51,35,1,2,0,100,0,0,97.2727272727273,2.72727272727273,2.72727272727273,16.3636363636364,46.3636363636364,31.8181818181818,0.909090909090909,1.81818181818182,0
"E00021220",199,199,0,0,199,181,18,0,5,19,171,4,0,0,100,0,0,90.9547738693467,9.04522613065327,0,2.51256281407035,9.54773869346734,85.929648241206,2.01005025125628,0,0
"E00021223",199,199,0,0,199,195,4,2,16,25,154,2,0,0,100,0,0,97.9899497487437,2.01005025125628,1.00502512562814,8.04020100502512,12.5628140703518,77.3869346733668,1.00502512562814,0,0
"E00021224",175,175,0,0,175,168,7,2,7,24,140,2,0,0,100,0,0,96,4,1.14285714285714,4,13.7142857142857,80,1.14285714285714,0,0
"E00021225",153,153,0,0,153,152,1,0,1,4,147,1,0,0,100,0,0,99.3464052287582,0.65359477124183,0,0.65359477124183,2.61437908496732,96.078431372549,0.65359477124183,0,0
"E00021227",127,127,0,0,127,118,9,1,50,15,60,1,0,0,100,0,0,92.9133858267717,7.08661417322835,0.78740157480315,39.3700787401575,11.8110236220472,47.244094488189,0.78740157480315,0,0
"E00021228",138,138,0,0,138,135,3,2,29,22,80,3,1,1,100,0,0,97.8260869565217,2.17391304347826,1.44927536231884,21.0144927536232,15.9420289855072,57.9710144927536,2.17391304347826,0.72463768115942,0.72463768115942
"E00021229",124,124,0,0,124,116,8,0,0,2,122,0,0,0,100,0,0,93.5483870967742,6.45161290322581,0,0,1.61290322580645,98.3870967741936,0,0,0
"E00021230",140,140,0,0,140,128,12,4,10,18,107,1,0,0,100,0,0,91.4285714285714,8.57142857142857,2.85714285714286,7.14285714285714,12.8571428571429,76.4285714285714,0.714285714285714,0,0
"E00021231",125,125,0,0,125,122,3,1,7,21,95,1,0,0,100,0,0,97.6,2.4,0.8,5.6,16.8,76,0.8,0,0
"E00021235",109,109,0,0,109,105,4,0,0,2,107,0,0,0,100,0,0,96.3302752293578,3.6697247706422,0,0,1.8348623853211,98.1651376146789,0,0,0
"E00021236",137,136,1,0,138,132,6,2,0,1,131,4,0,0,99.2700729927007,0.72992700729927,0,95.6521739130435,4.34782608695652,1.44927536231884,0,0.72463768115942,94.9275362318841,2.89855072463768,0,0
"E00021238",198,197,1,0,199,181,18,6,4,23,163,3,0,0,99.4949494949495,0.505050505050505,0,90.9547738693467,9.04522613065327,3.01507537688442,2.01005025125628,11.5577889447236,81.9095477386935,1.50753768844221,0,0
"E00021239",159,159,0,0,159,147,12,1,0,0,157,0,1,0,100,0,0,92.4528301886792,7.54716981132075,0.628930817610063,0,0,98.7421383647799,0,0.628930817610063,0
"E00021240",172,172,0,0,172,162,10,2,2,15,148,5,0,0,100,0,0,94.1860465116279,5.81395348837209,1.16279069767442,1.16279069767442,8.72093023255814,86.046511627907,2.90697674418605,0,0
