"GeographyCode","KS401EW0001","KS401EW0002","KS401EW0003","KS401EW0004","KS401EW0005","KS401EW0006","KS401EW0007","KS401EW0008","KS401EW0009","KS401EW0010","KS401EW0011","KS401EW0012","KS401EW0013","KS401EW0014","KS401EW0015","KS401EW0016","KS401EW0017","KS401EW0018","KS401EW0019","KS401EW0020","KS401EW0021","KS401EW0022","KS401EW0023","KS401EW0024","KS401EW0025","KS401EW0026"
"E01004197",980,980,0,0,980,964,16,3,28,78,715,122,34,0,100,0,0,98.3673469387755,1.63265306122449,0.306122448979592,2.85714285714286,7.95918367346939,72.9591836734694,12.4489795918367,3.46938775510204,0
"E01004198",609,607,0,2,614,606,8,7,14,56,510,16,11,0,99.671592775041,0,0.328407224958949,98.6970684039088,1.30293159609121,1.1400651465798,2.28013029315961,9.12052117263844,83.0618892508143,2.60586319218241,1.79153094462541,0
"E01004199",572,568,2,2,578,574,4,3,1,15,545,9,5,0,99.3006993006993,0.34965034965035,0.34965034965035,99.3079584775086,0.69204152249135,0.519031141868512,0.173010380622837,2.59515570934256,94.2906574394464,1.55709342560554,0.865051903114187,0
"E01004200",588,586,0,2,592,585,7,5,13,82,378,86,28,0,99.6598639455782,0,0.340136054421769,98.8175675675676,1.18243243243243,0.844594594594595,2.19594594594595,13.8513513513514,63.8513513513513,14.527027027027,4.72972972972973,0
"E01004201",624,623,0,1,627,619,8,12,12,113,399,88,3,0,99.8397435897436,0,0.16025641025641,98.7240829346092,1.27591706539075,1.91387559808612,1.91387559808612,18.0223285486443,63.6363636363636,14.0350877192982,0.478468899521531,0
"E01004202",709,706,0,3,722,713,9,5,12,19,623,51,12,0,99.5768688293371,0,0.423131170662906,98.7534626038781,1.24653739612188,0.692520775623269,1.66204986149584,2.63157894736842,86.2880886426593,7.06371191135734,1.66204986149584,0
"E01004203",688,686,0,2,703,689,14,5,8,32,587,30,41,0,99.7093023255814,0,0.290697674418605,98.0085348506401,1.99146514935989,0.711237553342816,1.13798008534851,4.55192034139403,83.4992887624467,4.2674253200569,5.8321479374111,0
"E01004204",634,634,0,0,634,631,3,9,12,20,573,19,1,0,100,0,0,99.5268138801262,0.473186119873817,1.41955835962145,1.89274447949527,3.15457413249211,90.3785488958991,2.99684542586751,0.157728706624606,0
"E01004205",696,692,1,3,706,688,18,11,25,55,599,13,3,0,99.4252873563218,0.14367816091954,0.431034482758621,97.4504249291785,2.54957507082153,1.55807365439093,3.54107648725212,7.79036827195467,84.8441926345609,1.8413597733711,0.424929178470255,0
"E01004206",573,570,0,3,581,554,27,3,4,24,533,14,3,0,99.4764397905759,0,0.523560209424084,95.3528399311532,4.64716006884682,0.516351118760757,0.688468158347676,4.13080895008606,91.7383820998279,2.40963855421687,0.516351118760757,0
