"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E01032765",645,307,91,173,43,227,72,58,97,63,25,28,10,48,27,19,2
"E01032766",601,352,113,205,34,199,85,62,52,34,17,11,6,16,7,5,4
"E01032767",767,508,152,341,15,201,103,68,30,46,33,12,1,12,4,7,1
"E01032768",696,370,122,206,42,273,128,102,43,36,19,15,2,17,7,9,1
"E01032769",593,284,83,154,47,237,100,81,56,46,24,20,2,26,11,15,0
"E01032770",572,326,96,182,48,150,51,51,48,36,22,12,2,60,43,15,2
"E01032771",546,300,135,133,32,205,84,57,64,27,15,11,1,14,5,9,0
"E01032772",544,269,149,93,27,186,81,53,52,40,25,11,4,49,26,18,5
"E01032773",852,588,277,219,92,242,118,62,62,16,9,7,0,6,3,3,0
"E01032774",583,311,110,108,93,207,71,61,75,39,17,17,5,26,13,12,1
"E01032775",600,312,103,164,45,236,119,80,37,35,17,15,3,17,6,10,1
"E01032776",631,441,212,183,46,165,92,50,23,17,11,4,2,8,2,6,0
"E01032777",514,281,98,149,34,210,69,57,84,12,4,6,2,11,7,2,2
"E01032778",564,387,128,193,66,146,66,51,29,22,6,13,3,9,5,3,1
"E01032779",565,374,134,163,77,166,72,58,36,19,12,6,1,6,2,4,0
"E01032780",647,348,83,235,30,255,99,103,53,27,10,15,2,17,2,15,0
"E01032781",771,399,131,231,37,303,119,117,67,41,10,26,5,28,11,14,3
"E01032782",776,443,222,168,53,287,121,72,94,25,12,7,6,21,9,11,1
"E01032783",661,304,105,155,44,239,100,80,59,54,28,23,3,64,42,20,2
"E01032784",692,402,92,259,51,196,64,62,70,33,14,13,6,61,44,16,1
"E01032785",616,357,95,209,53,210,58,82,70,23,11,9,3,26,17,8,1
"E01032786",674,224,59,104,61,302,111,71,120,57,39,14,4,91,60,30,1
"E01032787",793,279,63,119,97,337,71,70,196,82,26,36,20,95,48,36,11
