"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00021681",246,120,42,66,12,126,108,3,1,11,3
"E00021682",437,154,136,16,2,283,225,12,8,8,30
"E00021683",411,145,122,22,1,266,192,20,9,9,36
"E00021685",464,166,126,34,6,298,240,17,11,17,13
"E00021686",297,104,56,44,4,193,163,10,7,10,3
"E00021687",399,142,82,56,4,257,222,4,9,9,13
"E00021688",332,112,78,30,4,220,177,15,7,9,12
"E00021689",265,96,44,46,6,169,152,8,0,9,0
"E00021690",406,130,72,52,6,276,224,24,7,10,11
"E00021691",258,84,60,20,4,174,130,8,9,14,13
"E00021692",259,104,46,38,20,155,116,15,7,13,4
"E00021693",368,134,86,46,2,234,186,17,7,14,10
"E00021694",354,134,90,30,14,220,171,13,11,10,15
"E00021695",330,128,62,56,10,202,166,11,5,10,10
"E00021696",431,192,114,56,22,239,195,12,7,11,14
"E00021697",247,82,60,12,10,165,125,8,13,14,5
"E00021698",296,140,84,42,14,156,104,10,12,9,21
"E00021699",315,104,70,24,10,211,163,6,7,18,17
"E00021700",445,170,98,56,16,275,223,8,10,18,16
"E00021701",391,132,82,42,8,259,214,6,6,16,17
"E00021702",257,84,70,14,0,173,112,11,7,21,22
"E00021703",256,98,68,26,4,158,119,8,6,10,15
"E00021704",293,108,62,42,4,185,144,4,7,16,14
"E00021705",345,126,88,34,4,219,164,11,7,20,17
"E00021706",271,74,62,10,2,197,151,2,13,11,20
"E00021707",291,108,64,32,12,183,140,16,9,10,8
"E00021708",267,90,60,28,2,177,123,10,3,25,16
"E00021709",262,68,60,8,0,194,142,13,7,23,9
"E00021710",252,74,58,14,2,178,119,13,13,13,20
"E00021711",397,130,76,44,10,267,226,11,11,11,8
"E00021712",287,104,48,40,16,183,139,11,5,19,9
"E00021713",206,68,52,12,4,138,109,4,7,15,3
"E00021714",187,60,48,12,0,127,102,6,3,11,5
"E00021715",273,81,50,26,5,192,153,9,6,20,4
"E00021716",258,74,64,10,0,184,86,14,14,29,41
"E00021717",214,68,50,12,6,146,116,7,5,11,7
"E00021718",317,102,52,38,12,215,174,13,9,12,7
"E00021719",129,40,36,2,2,89,72,5,4,3,5
"E00021722",296,88,46,34,8,208,171,4,9,20,4
"E00021723",209,78,58,14,6,131,101,4,10,11,5
"E00021724",223,98,44,42,12,125,100,6,2,11,6
"E00021725",207,100,52,36,12,107,69,6,3,14,15
"E00021726",182,80,64,10,6,102,54,7,11,16,14
"E00021727",180,68,50,16,2,112,70,11,7,13,11
"E00021728",202,66,40,20,6,136,97,3,8,14,14
"E00021729",153,48,24,20,4,105,77,3,6,10,9
"E00021730",289,124,84,34,6,165,115,5,10,23,12
"E00021731",286,112,88,22,2,174,123,14,5,17,15
"E00021732",213,102,54,36,12,111,89,2,4,8,8
"E00021733",463,146,94,36,16,317,241,25,8,24,19
"E00021734",454,208,180,20,8,246,169,20,17,14,26
"E00021735",354,142,116,20,6,212,136,24,15,17,20
"E00021736",364,166,148,14,4,198,135,19,9,10,25
"E00021737",225,91,52,28,11,134,107,7,6,8,6
"E00021738",262,88,74,12,2,174,124,16,13,7,14
"E00021739",255,86,36,42,8,169,147,6,8,5,3
"E00021740",302,130,104,22,4,172,122,10,10,18,12
"E00021741",222,84,28,52,4,138,127,3,3,5,0
"E00021742",434,156,114,32,10,278,228,20,12,12,6
"E00021743",272,82,66,12,4,190,140,18,9,9,14
"E00021744",527,174,96,64,14,353,299,13,15,19,7
"E00021745",183,58,52,4,2,125,89,7,4,15,10
"E00021746",222,90,32,50,8,132,120,3,4,4,1
"E00021748",459,172,110,54,8,287,195,36,9,19,28
"E00021750",317,134,128,4,2,183,127,21,8,8,19
"E00021752",340,126,102,20,4,214,152,17,5,16,24
"E00021753",203,66,58,6,2,137,84,12,13,17,11
"E00021754",162,62,56,6,0,100,66,2,3,12,17
"E00021755",304,78,54,22,2,226,176,18,6,13,13
"E00021756",188,86,50,32,4,102,77,4,4,12,5
"E00021757",192,68,54,10,4,124,85,11,9,8,11
"E00021758",277,94,62,28,4,183,133,21,5,13,11
"E00021759",270,106,102,4,0,164,106,16,6,13,23
"E00021760",238,100,86,14,0,138,100,9,7,10,12
"E00021761",182,94,66,20,8,88,68,7,2,6,5
"E00021762",240,88,66,20,2,152,105,17,11,9,10
"E00021763",304,124,112,10,2,180,127,13,6,6,28
"E00021764",384,132,98,32,2,252,210,14,7,5,16
"E00021766",333,118,100,12,6,215,171,13,3,8,20
"E00021767",194,50,28,18,4,144,105,6,11,14,8
"E00167078",240,66,34,30,2,174,142,15,4,5,8
"E00167079",208,106,62,36,8,102,85,4,4,9,0
"E00167080",269,132,100,24,8,137,104,4,4,12,13
"E00167081",239,116,76,34,6,123,101,7,2,9,4
"E00167082",280,92,58,28,6,188,163,9,3,9,4
"E00167083",256,112,80,32,0,144,115,5,6,8,10
"E00167084",192,82,44,38,0,110,95,1,6,7,1
"E00167085",224,70,52,12,6,154,117,10,6,12,9
"E00167086",293,116,82,30,4,177,131,9,11,19,7
"E00167087",256,136,76,56,4,120,106,3,3,7,1
"E00167088",197,70,22,44,4,127,107,7,3,9,1
"E00167089",164,42,12,22,8,122,94,2,3,13,10
"E00167090",155,76,44,24,8,79,63,3,5,8,0
"E00167091",270,90,40,42,8,180,153,9,5,8,5
"E00167092",249,72,38,30,4,177,162,5,1,7,2
"E00167093",163,60,18,38,4,103,95,1,2,5,0
"E00167094",251,106,56,44,6,145,118,11,5,3,8
"E00167095",255,70,58,10,2,185,137,12,7,14,15
"E00167096",131,48,8,40,0,83,76,1,2,3,1
"E00167097",222,96,42,48,6,126,95,7,8,10,6
"E00167098",126,48,12,32,4,78,64,7,4,2,1
"E00167099",109,42,16,24,2,67,53,8,3,3,0
"E00167100",509,132,56,66,10,377,352,7,7,9,2
"E00167101",245,104,44,56,4,141,125,9,3,3,1
"E00167102",246,72,50,10,12,174,135,13,3,20,3
"E00167103",199,114,58,54,2,85,75,6,2,2,0
"E00167104",207,82,36,38,8,125,101,10,1,10,3
"E00167105",322,156,138,18,0,166,125,8,8,11,14
"E00167106",283,146,98,38,10,137,118,9,1,7,2
"E00167107",191,92,54,34,4,99,77,5,7,10,0
"E00167108",335,128,100,20,8,207,149,11,11,19,17
"E00167109",211,86,54,32,0,125,105,8,5,5,2
"E00167110",235,108,72,34,2,127,104,3,2,8,10
"E00167111",265,136,62,64,10,129,108,13,3,5,0
"E00167112",707,318,202,100,16,389,306,31,14,29,9
"E00167113",328,142,108,30,4,186,146,12,7,13,8
"E00167114",361,146,114,20,12,215,150,11,12,17,25
"E00167115",590,238,128,94,16,352,268,30,22,28,4
"E00167116",211,76,56,18,2,135,101,9,6,12,7
"E00167117",126,42,30,10,2,84,74,1,3,6,0
"E00167118",225,116,76,34,6,109,83,10,9,7,0
"E00167119",249,128,84,26,18,121,89,5,8,13,6
"E00167120",236,120,78,36,6,116,99,3,6,6,2
"E00167121",241,142,92,42,8,99,81,9,3,6,0
"E00167122",193,86,52,32,2,107,84,7,6,10,0
"E00167123",237,104,62,34,8,133,94,9,14,13,3
"E00167124",259,126,74,42,10,133,110,9,5,8,1
"E00167125",156,72,52,18,2,84,70,5,1,6,2
"E00167126",338,170,110,44,16,168,147,10,4,7,0
"E00167127",226,123,74,41,8,103,81,6,8,7,1
"E00167128",180,72,54,16,2,108,69,18,11,7,3
"E00167129",512,246,162,76,8,266,202,22,15,24,3
"E00167130",704,344,200,116,28,360,283,31,16,24,6
"E00167131",119,40,26,10,4,79,43,6,4,11,15
"E00167132",387,136,82,50,4,251,198,31,3,18,1
"E00167133",144,48,40,8,0,96,62,5,7,15,7
"E00167134",210,104,72,30,2,106,79,10,2,13,2
"E00167135",228,142,88,40,14,86,72,5,1,8,0
"E00167136",140,64,46,14,4,76,49,3,7,10,7
"E00167137",210,108,62,36,10,102,82,6,5,8,1
"E00167138",203,72,48,24,0,131,110,5,2,13,1
"E00167139",282,94,40,46,8,188,151,18,4,13,2
"E00167140",203,84,38,38,8,119,97,11,6,5,0
"E00167141",296,126,78,44,4,170,146,15,3,6,0
"E00167142",418,184,100,70,14,234,188,12,8,20,6
"E00167143",264,102,86,14,2,162,129,11,8,6,8
"E00167144",308,128,112,14,2,180,111,22,10,18,19
"E00167145",180,80,52,26,2,100,82,9,3,6,0
"E00167146",277,138,88,40,10,139,122,9,4,3,1
"E00167147",160,56,40,14,2,104,72,9,10,10,3
"E00167148",185,86,50,32,4,99,79,10,0,8,2
"E00167149",137,70,46,18,6,67,56,6,2,1,2
"E00167150",341,148,78,50,20,193,174,7,5,7,0
"E00167151",390,185,105,64,16,205,162,18,8,10,7
"E00167152",161,76,40,32,4,85,63,8,4,9,1
"E00167153",253,100,70,22,8,153,117,11,11,12,2
"E00167154",190,86,44,36,6,104,94,2,3,4,1
"E00167155",282,116,56,42,18,166,146,7,5,7,1
"E00167156",251,100,90,8,2,151,104,11,8,20,8
"E00167157",302,176,104,62,10,126,107,12,3,4,0
"E00167158",241,128,100,22,6,113,78,21,5,9,0
"E00167159",194,102,58,40,4,92,74,7,3,7,1
"E00167160",238,88,70,12,6,150,113,6,10,10,11
"E00167161",230,98,80,16,2,132,89,9,10,15,9
"E00167162",305,164,102,52,10,141,111,8,8,12,2
"E00167163",246,78,42,28,8,168,147,8,3,6,4
"E00167164",85,46,26,20,0,39,27,2,3,5,2
"E00167165",225,98,54,34,10,127,104,10,4,9,0
"E00167166",432,88,50,32,6,344,327,11,2,4,0
"E00167167",264,84,24,54,6,180,159,14,5,2,0
"E00167168",246,98,44,48,6,148,124,6,10,6,2
"E00167169",226,66,42,22,2,160,111,13,9,20,7
"E00167170",149,82,60,18,4,67,53,9,2,3,0
"E00167171",152,75,68,5,2,77,54,6,5,5,7
"E00167172",167,44,10,32,2,123,111,3,4,4,1
"E00167173",363,175,158,13,4,188,131,17,7,24,9
"E00167174",221,128,82,38,8,93,78,4,1,9,1
"E00167175",193,92,60,26,6,101,56,17,9,14,5
"E00167176",305,78,32,34,12,227,191,8,8,17,3
"E00167177",246,102,46,48,8,144,137,0,3,3,1
"E00167178",265,96,62,24,10,169,138,6,6,13,6
"E00167179",234,62,16,40,6,172,157,3,6,6,0
"E00167180",212,106,74,20,12,106,91,1,4,8,2
"E00167181",141,48,26,18,4,93,74,8,1,8,2
"E00167182",101,44,28,14,2,57,41,2,4,7,3
"E00167183",112,74,52,20,2,38,28,5,2,3,0
"E00167184",152,60,36,20,4,92,77,2,2,10,1
"E00167185",192,60,48,12,0,132,81,2,11,22,16
"E00167186",236,78,26,48,4,158,143,2,3,6,4
"E00167187",241,88,42,38,8,153,135,4,6,4,4
"E00167188",285,126,38,76,12,159,143,3,2,10,1
"E00167189",252,82,44,36,2,170,150,1,4,11,4
"E00167190",183,62,30,28,4,121,99,7,4,9,2
"E00167191",208,98,24,60,14,110,95,3,3,7,2
"E00167192",206,84,50,32,2,122,105,4,3,7,3
"E00167193",176,62,46,16,0,114,76,3,5,21,9
"E00167194",215,88,48,36,4,127,107,6,3,9,2
"E00167195",161,70,42,18,10,91,75,6,3,6,1
"E00167196",163,62,56,6,0,101,63,3,4,18,13
"E00167197",209,62,42,20,0,147,92,4,5,19,27
"E00167198",396,158,112,38,8,238,171,7,17,21,22
"E00167199",155,56,22,30,4,99,92,0,2,5,0
"E00167200",201,82,38,36,8,119,110,2,2,5,0
"E00167201",239,104,88,16,0,135,84,5,11,20,15
"E00167202",165,48,40,6,2,117,55,11,6,24,21
"E00167203",317,122,90,20,12,195,161,8,8,8,10
"E00167204",229,104,40,50,14,125,115,1,2,6,1
"E00167205",225,92,74,12,6,133,83,18,7,11,14
"E00167206",278,119,96,20,3,159,114,7,3,18,17
"E00167207",244,126,62,54,10,118,109,4,3,2,0
"E00167208",255,122,50,54,18,133,121,2,2,6,2
"E00167209",290,152,72,60,20,138,119,2,6,10,1
"E00167210",127,76,32,28,16,51,47,0,1,2,1
"E00167211",278,100,80,18,2,178,136,10,6,12,14
"E00167212",195,90,82,6,2,105,65,7,11,17,5
"E00167213",277,102,94,6,2,175,126,18,11,6,14
"E00167214",265,88,66,16,6,177,140,13,6,9,9
"E00167215",266,130,86,34,10,136,106,13,6,8,3
"E00167216",256,98,78,18,2,158,111,10,12,18,7
"E00167217",213,86,72,12,2,127,96,6,3,8,14
"E00167218",222,106,70,34,2,116,92,4,9,10,1
"E00167219",201,94,80,12,2,107,72,4,12,6,13
"E00167220",218,90,48,38,4,128,114,8,0,6,0
"E00167221",315,142,104,34,4,173,118,12,13,18,12
"E00167222",231,88,78,8,2,143,98,21,6,5,13
"E00167223",257,118,86,24,8,139,108,9,5,12,5
"E00167224",224,102,64,36,2,122,84,10,9,11,8
"E00167225",232,116,100,6,10,116,91,2,7,11,5
"E00167226",207,96,46,42,8,111,95,2,4,9,1
"E00167227",279,105,73,28,4,174,140,8,6,11,9
"E00167228",215,88,62,24,2,127,97,5,3,14,8
"E00167229",241,96,78,16,2,145,98,13,7,9,18
"E00167230",183,92,38,48,6,91,72,9,2,7,1
"E00167231",219,74,60,14,0,145,119,5,4,8,9
"E00167232",179,66,34,24,8,113,98,3,3,7,2
"E00167233",157,84,56,28,0,73,54,4,4,10,1
"E00167234",268,126,94,26,6,142,102,7,8,14,11
"E00167235",342,140,128,12,0,202,146,18,6,16,16
"E00167236",171,74,26,46,2,97,87,4,1,5,0
"E00167237",175,90,46,36,8,85,73,4,3,4,1
"E00167238",249,115,96,14,5,134,91,11,5,11,16
"E00167239",125,46,30,10,6,79,62,2,7,7,1
"E00167240",302,150,134,12,4,152,103,9,7,18,15
"E00167241",278,106,100,2,4,172,120,13,7,13,19
"E00167242",150,68,34,28,6,82,59,3,10,8,2
"E00167243",257,100,32,56,12,157,143,5,2,6,1
"E00167244",242,78,30,42,6,164,148,2,6,6,2
"E00167245",256,98,54,32,12,158,124,9,4,14,7
"E00167246",179,50,40,10,0,129,92,3,2,22,10
"E00167247",144,66,22,42,2,78,69,3,2,3,1
"E00167248",356,126,56,62,8,230,191,20,6,11,2
"E00167249",346,152,74,64,14,194,153,24,7,10,0
"E00167250",237,100,92,6,2,137,104,12,10,8,3
"E00167251",304,6,2,4,0,298,292,2,0,2,2
"E00167252",282,132,94,26,12,150,125,10,3,10,2
"E00167253",231,138,90,42,6,93,73,1,9,10,0
"E00167254",228,46,34,12,0,182,151,6,4,8,13
"E00167255",276,150,114,36,0,126,87,20,5,8,6
"E00167256",224,108,70,26,12,116,96,2,5,10,3
"E00167257",281,154,86,58,10,127,101,9,8,6,3
"E00167258",299,120,112,8,0,179,129,17,6,12,15
"E00167259",176,86,72,8,6,90,63,8,4,8,7
"E00167260",352,138,122,14,2,214,167,9,9,18,11
"E00167261",330,158,102,46,10,172,132,5,7,17,11
"E00167262",82,42,28,14,0,40,34,2,1,2,1
"E00167263",188,68,14,46,8,120,116,2,1,1,0
"E00167264",236,110,82,28,0,126,87,8,5,14,12
"E00167265",278,71,50,20,1,207,132,11,8,20,36
"E00167266",279,80,40,34,6,199,126,12,10,20,31
