"GeographyCode","QS405EW0001","QS405EW0002","QS405EW0003","QS405EW0004","QS405EW0005","QS405EW0006","QS405EW0007","QS405EW0008","QS405EW0009","QS405EW0010","QS405EW0011","QS405EW0012","QS405EW0013","QS405EW0014"
"E02000864",3468,646,242,404,69,1985,619,1366,742,707,0,24,11,26
"E02000865",2763,478,168,310,61,1532,856,676,666,626,8,23,9,26
"E02000866",3829,1307,540,767,53,1380,303,1077,1046,991,2,47,6,43
"E02000867",4307,1120,302,818,173,1410,564,846,1548,1482,3,53,10,56
"E02000868",2618,685,245,440,26,941,429,512,940,885,4,37,14,26
"E02000869",2485,684,262,422,21,1165,764,401,592,547,3,29,13,23
"E02000870",2560,678,251,427,50,1166,712,454,636,604,1,26,5,30
"E02000871",3107,489,138,351,102,1730,489,1241,739,695,1,25,18,47
"E02000872",3088,671,225,446,38,1253,911,342,1096,1046,2,35,13,30
"E02000873",2792,661,224,437,66,1295,1018,277,746,579,2,25,140,24
"E02000874",2494,463,164,299,26,1328,861,467,644,603,1,12,28,33
"E02000875",3437,551,160,391,54,1857,670,1187,925,875,3,36,11,50
"E02000876",2750,651,219,432,29,1029,567,462,1007,953,0,40,14,34
"E02000877",3252,618,193,425,22,1749,574,1175,833,787,0,29,17,30
"E02000878",3900,1002,377,625,50,1244,482,762,1559,1471,4,41,43,45
"E02000879",2855,694,278,416,43,1314,541,773,755,691,4,37,23,49
"E02000880",2090,504,167,337,33,908,704,204,621,586,3,18,14,24
"E02000881",2379,520,197,323,104,1291,458,833,437,401,2,11,23,27
"E02000882",2884,425,140,285,266,1785,721,1064,371,343,0,16,12,37
"E02000883",2880,438,178,260,61,1731,553,1178,622,585,3,17,17,28
"E02000884",3707,685,254,431,91,998,342,656,1893,1833,13,26,21,40
"E02000885",2509,422,153,269,97,1421,501,920,535,504,0,15,16,34
"E02000886",3185,1033,356,677,49,984,740,244,1087,1039,6,31,11,32
"E02000887",3165,614,213,401,75,1633,889,744,806,759,2,27,18,37
"E02000888",3306,906,280,626,140,1062,511,551,1144,1092,3,37,12,54
"E02000889",2879,952,364,588,64,853,420,433,969,916,4,39,10,41
"E02000890",3093,1430,615,815,40,359,246,113,1223,1146,25,39,13,41
"E02000891",5742,1345,452,893,209,1397,471,926,2717,2628,8,53,28,74
"E02000893",2912,900,307,593,25,1081,235,846,863,823,1,28,11,43
"E02000894",4510,1486,446,1040,58,757,140,617,2143,2083,3,44,13,66
"E02006853",3320,715,231,484,94,1050,198,852,1401,1346,12,29,14,60
"E02006854",2991,779,307,472,94,418,59,359,1658,1601,28,16,13,42
