"GeographyCode","QS411EW0001","QS411EW0002","QS411EW0003","QS411EW0004","QS411EW0005","QS411EW0006","QS411EW0007"
"E00021141",117,0,52,16,20,17,12
"E00021143",138,0,17,73,34,13,1
"E00021145",104,0,35,51,9,1,8
"E00021146",143,0,26,91,11,13,2
"E00021147",83,0,16,26,33,7,1
"E00021148",119,0,40,14,58,6,1
"E00021149",126,0,22,89,11,2,2
"E00021150",116,2,21,66,17,8,2
"E00021151",113,1,41,38,20,10,3
"E00021152",138,1,40,49,33,8,7
"E00021153",149,1,67,31,22,27,1
"E00021154",121,0,19,45,28,24,5
"E00021155",172,0,74,79,13,6,0
"E00021156",133,4,81,42,3,2,1
"E00021157",106,1,24,42,30,6,3
"E00021158",107,1,28,36,27,14,1
"E00021159",246,1,84,64,81,14,2
"E00021160",112,0,19,60,23,8,2
"E00021161",154,1,24,62,49,11,7
"E00021162",121,1,34,29,12,29,16
"E00021163",119,3,27,16,64,8,1
"E00021164",128,0,41,80,7,0,0
"E00021165",122,2,36,26,42,16,0
"E00021166",126,0,10,36,51,24,5
"E00021167",128,0,46,42,37,3,0
"E00021168",169,4,40,92,17,13,3
"E00021169",189,0,41,105,31,11,1
"E00021170",162,0,31,100,21,7,3
"E00021171",241,2,78,84,50,14,13
"E00021172",125,0,37,41,36,5,6
"E00021173",146,2,32,51,40,20,1
"E00021174",128,0,83,32,13,0,0
"E00021175",127,2,25,55,41,4,0
"E00021176",151,0,39,62,46,4,0
"E00021177",134,2,27,53,33,16,3
"E00021179",140,1,62,41,23,11,2
"E00021180",168,1,57,69,32,7,2
"E00021181",107,1,39,35,27,4,1
"E00021182",169,2,75,46,33,10,3
"E00021183",135,3,72,49,11,0,0
"E00021184",69,0,32,18,13,6,0
"E00021185",131,0,43,35,45,7,1
"E00021186",156,3,58,37,46,5,7
"E00021187",97,1,4,72,20,0,0
"E00021188",120,4,48,20,25,17,6
"E00021189",122,1,31,10,57,17,6
"E00021190",161,2,30,76,37,14,2
"E00021191",124,0,33,57,22,12,0
"E00021192",113,1,31,41,33,6,1
"E00021193",182,2,73,81,20,4,2
"E00021194",176,1,48,74,31,14,8
"E00021195",108,0,3,39,59,7,0
"E00021196",114,0,20,48,40,6,0
"E00021197",215,2,94,84,18,13,4
"E00021198",92,0,7,32,49,2,2
"E00021199",111,4,75,22,10,0,0
"E00021200",107,0,27,35,33,8,4
"E00021201",107,0,40,30,18,17,2
"E00021202",92,0,25,43,21,2,1
"E00021203",104,0,41,23,33,6,1
"E00021204",145,1,69,26,22,8,19
"E00021205",100,0,22,31,36,8,3
"E00021206",78,0,22,29,25,2,0
"E00021207",164,2,131,23,6,1,1
"E00021208",108,3,33,33,33,5,1
"E00021209",72,0,22,24,16,10,0
"E00021210",78,1,16,21,15,20,5
"E00021211",135,0,46,46,37,3,3
"E00021212",75,3,10,36,16,9,1
"E00021213",132,1,38,49,25,10,9
"E00021214",156,2,30,87,24,4,9
"E00021215",181,0,87,62,16,14,2
"E00021216",163,0,100,37,17,6,3
"E00021217",225,3,119,96,3,3,1
"E00021218",201,0,24,97,40,36,4
"E00021219",107,0,7,72,23,3,2
"E00021220",181,0,59,96,18,5,3
"E00021223",195,1,57,105,16,13,3
"E00021224",168,1,31,23,95,17,1
"E00021225",152,2,50,86,13,1,0
"E00021227",118,0,33,51,29,4,1
"E00021228",135,0,14,31,82,5,3
"E00021229",116,0,33,61,11,6,5
"E00021230",128,1,39,50,29,7,2
"E00021231",122,0,55,46,16,3,2
"E00021235",105,0,24,52,10,17,2
"E00021236",132,3,59,55,12,1,2
"E00021238",181,1,27,98,37,17,1
"E00021239",147,0,33,109,5,0,0
"E00021240",162,0,40,96,19,5,2
"E00021241",116,0,10,57,22,20,7
"E00021243",147,1,35,84,26,1,0
"E00021244",148,2,110,21,13,2,0
"E00021245",113,0,25,55,23,10,0
"E00021246",182,2,20,101,48,9,2
"E00021247",115,1,2,40,61,7,4
"E00021248",136,0,6,119,6,5,0
"E00021249",122,0,9,73,12,28,0
"E00021251",114,0,32,37,34,6,5
"E00021252",126,0,41,54,23,7,1
"E00021253",144,6,94,11,14,17,2
"E00021254",109,0,10,89,8,2,0
"E00021255",109,0,25,77,7,0,0
"E00021256",107,0,8,73,18,5,3
"E00021257",102,0,1,69,19,6,7
"E00021258",134,7,17,30,75,3,2
"E00021259",134,0,19,23,79,11,2
"E00021260",143,2,60,34,39,8,0
"E00021261",128,0,42,56,26,4,0
"E00021262",119,4,15,91,9,0,0
"E00021263",175,0,19,83,46,24,3
"E00021266",119,0,33,46,25,9,6
"E00021267",145,0,36,70,26,10,3
"E00021268",106,0,16,75,11,3,1
"E00021271",189,0,55,105,15,12,2
"E00021272",89,0,29,14,39,4,3
"E00021273",125,0,42,54,27,2,0
"E00021274",192,0,35,55,89,10,3
"E00021275",116,1,44,13,56,2,0
"E00021277",101,0,13,49,23,8,8
"E00021278",82,0,22,37,17,2,4
"E00021279",153,1,39,26,78,8,1
"E00021280",151,0,74,41,30,6,0
"E00021281",204,1,52,57,61,32,1
"E00021282",181,0,60,86,24,5,6
"E00021285",77,0,39,36,2,0,0
"E00021286",106,0,31,47,18,9,1
"E00021287",160,0,108,51,1,0,0
"E00021288",133,0,36,95,1,1,0
"E00021289",127,1,43,77,5,1,0
"E00021290",120,0,27,32,51,7,3
"E00021291",239,1,156,80,1,1,0
"E00021292",113,0,6,72,23,8,4
"E00021294",201,1,63,63,72,0,2
"E00021295",145,2,35,38,47,14,9
"E00021296",160,1,57,70,20,11,1
"E00021297",156,0,26,34,77,15,4
"E00021298",173,0,35,42,74,18,4
"E00021299",165,0,36,66,45,17,1
"E00021300",181,2,16,50,58,43,12
"E00021301",175,0,20,114,39,2,0
"E00021302",185,0,57,69,33,16,10
"E00021303",126,0,54,32,21,16,3
"E00021304",119,2,14,31,49,19,4
"E00021305",100,0,9,33,29,25,4
"E00021306",126,0,39,39,24,14,10
"E00021307",183,0,55,32,61,22,13
"E00021308",139,1,21,35,42,18,22
"E00021309",105,0,49,49,6,1,0
"E00021310",112,0,11,18,76,6,1
"E00021311",119,0,21,27,64,5,2
"E00021312",123,1,20,45,45,12,0
"E00021313",204,1,75,67,40,18,3
"E00021314",148,0,35,36,59,16,2
"E00021315",112,0,106,3,2,0,1
"E00021316",102,0,3,39,19,38,3
"E00021317",123,0,13,34,49,22,5
"E00021318",142,0,54,28,48,9,3
"E00021319",138,1,39,44,47,6,1
"E00021320",120,0,13,27,69,7,4
"E00021321",114,0,27,40,34,12,1
"E00021322",116,0,14,47,49,6,0
"E00021323",138,1,48,26,39,20,4
"E00021324",166,0,56,36,45,24,5
"E00021325",150,0,46,46,52,3,3
"E00021326",134,1,5,75,46,5,2
"E00021327",178,0,45,62,53,11,7
"E00021328",131,1,5,65,48,9,3
"E00021329",187,2,106,16,51,10,2
"E00021330",122,3,37,30,44,4,4
"E00021331",90,2,28,52,5,3,0
"E00021332",134,2,18,30,73,9,2
