"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E01004197",964,759,105,453,6,14,32,68,57,24,205,74,22,24,49,36
"E01004198",606,383,60,206,4,6,13,34,49,11,223,114,7,23,59,20
"E01004199",574,356,83,167,7,7,16,24,43,9,218,95,14,28,46,35
"E01004200",585,491,36,296,3,11,11,78,24,32,94,27,26,6,21,14
"E01004201",619,447,67,259,3,14,15,38,40,11,172,78,17,19,45,13
"E01004202",713,587,50,348,4,23,18,95,33,16,126,46,10,25,30,15
"E01004203",689,528,61,341,6,8,9,60,25,18,161,82,10,15,38,16
"E01004204",631,383,62,201,13,1,16,44,37,9,248,125,7,25,59,32
"E01004205",688,451,112,188,3,6,18,33,66,25,237,73,19,35,78,32
"E01004206",554,305,64,151,4,5,12,11,34,24,249,90,14,28,86,31
"E01004207",515,338,70,175,3,8,8,27,26,21,177,71,21,19,47,19
"E01004208",788,648,54,431,2,15,20,58,38,30,140,38,51,9,30,12
"E01004209",466,315,67,161,2,4,14,19,38,10,151,48,7,29,36,31
"E01004211",720,575,59,355,3,17,13,74,38,16,145,46,26,14,40,19
"E01004212",720,454,67,244,4,4,19,57,33,26,266,50,118,26,53,19
"E01004214",665,441,102,193,1,11,25,30,63,16,224,93,4,30,79,18
"E01004215",1168,875,85,600,3,16,16,72,64,19,293,123,43,42,50,35
"E01004216",737,592,51,421,2,13,11,51,29,14,145,79,23,14,13,16
"E01004217",779,547,54,389,1,13,14,36,30,10,232,127,17,23,50,15
"E01004218",731,584,39,396,1,25,17,70,21,15,147,75,17,22,20,13
"E01004219",851,639,97,408,12,9,12,32,60,9,212,64,37,40,37,34
"E01004221",802,675,56,478,6,14,16,63,31,11,127,53,12,20,28,14
"E01004222",1048,630,103,356,6,9,17,45,67,27,418,218,16,50,102,32
"E01004223",938,594,86,340,5,16,25,65,47,10,344,187,10,37,73,37
"E01004224",806,552,62,359,6,8,13,48,41,15,254,129,22,34,48,21
"E01004225",1147,1029,49,779,2,20,20,111,27,21,118,48,26,20,14,10
"E01004226",676,495,97,273,2,8,12,27,53,23,181,79,9,27,45,21
"E01004228",769,577,47,383,3,17,20,68,30,9,192,111,11,17,45,8
"E01004229",551,414,68,243,2,8,16,23,34,20,137,63,12,21,27,14
"E01004230",803,541,74,333,5,20,23,41,30,15,262,138,18,20,64,22
"E01004231",629,406,93,190,5,12,13,27,41,25,223,95,18,31,49,30
"E01004232",603,498,43,336,1,19,10,53,13,23,105,52,22,4,13,14
"E01004233",751,492,84,261,10,13,17,45,50,12,259,153,6,17,50,33
"E01004234",903,715,65,457,5,22,20,91,17,38,188,99,14,27,31,17
"E01004235",513,356,96,176,2,5,10,17,35,15,157,61,6,26,37,27
"E01004236",497,318,78,130,3,10,9,31,40,17,179,65,5,35,53,21
"E01004237",506,363,44,224,4,2,9,27,34,19,143,59,16,30,24,14
"E01004238",1058,808,122,474,6,19,18,44,86,39,250,70,26,44,59,51
"E01004239",533,360,87,171,4,12,12,23,36,15,173,83,6,30,36,18
"E01004240",574,385,93,174,11,5,9,28,50,15,189,72,13,27,49,28
"E01004241",570,370,93,160,10,10,18,14,47,18,200,93,14,25,52,16
"E01004242",898,673,139,361,5,9,24,34,68,33,225,50,32,50,60,33
"E01004243",614,397,90,169,5,10,24,33,54,12,217,87,8,43,47,32
"E01004244",686,417,98,195,6,10,9,25,63,11,269,134,19,34,60,22
"E01004245",433,272,62,113,13,6,14,16,41,7,161,35,10,42,43,31
"E01004246",747,576,75,334,3,21,18,65,41,19,171,77,11,20,40,23
"E01004247",714,455,93,219,5,9,14,29,72,14,259,104,24,45,51,35
"E01004248",441,266,58,115,4,4,12,19,42,12,175,76,3,35,45,16
"E01004249",758,497,112,236,6,14,27,31,60,11,261,97,6,45,73,40
"E01004250",866,544,125,280,2,11,22,24,61,19,322,124,12,55,95,36
"E01004251",779,516,103,260,10,12,25,33,54,19,263,128,7,30,62,36
"E01004252",1107,859,132,534,3,14,30,53,80,13,248,92,22,48,54,32
"E01004253",829,530,121,245,3,16,26,37,58,24,299,140,13,55,54,37
"E01004254",1046,970,37,779,4,30,8,74,27,11,76,23,14,15,10,14
"E01004255",647,463,65,267,9,7,18,33,51,13,184,45,22,24,68,25
"E01004256",611,399,82,204,3,5,14,24,49,18,212,96,12,31,53,20
"E01004257",618,447,113,178,6,8,10,32,78,22,171,67,15,35,36,18
"E01004258",713,562,41,385,1,26,16,67,18,8,151,80,15,11,27,18
"E01004259",812,637,83,394,3,9,24,70,30,24,175,72,18,15,42,28
"E01004260",636,446,86,242,5,7,15,31,44,16,190,92,5,22,44,27
"E01004261",550,320,65,86,7,5,19,16,24,98,230,74,87,17,30,22
"E01004262",495,318,58,151,3,3,7,23,22,51,177,88,32,14,21,22
"E01004263",529,333,69,172,4,4,11,23,35,15,196,98,10,27,45,16
"E01004264",457,299,72,131,8,6,13,10,38,21,158,74,9,22,31,22
"E01004266",583,400,53,247,4,7,6,41,29,13,183,95,11,23,40,14
"E01004267",707,564,67,355,5,12,14,38,54,19,143,40,23,18,38,24
"E01004268",688,475,86,243,6,8,12,31,69,20,213,74,20,34,57,28
"E01004269",726,500,96,258,8,12,19,28,56,23,226,101,29,23,44,29
"E01004270",745,599,78,356,4,12,15,65,33,36,146,49,37,17,28,15
"E01004271",548,373,86,164,6,8,14,33,51,11,175,67,21,31,36,20
"E01004272",639,438,119,192,5,11,19,13,65,14,201,80,9,38,49,25
"E01004273",594,386,93,189,4,7,16,22,40,15,208,71,16,33,58,30
"E01004274",654,481,63,301,9,16,8,32,37,15,173,59,15,28,39,32
"E01004275",768,617,68,437,3,12,9,59,21,8,151,71,20,21,27,12
"E01004276",996,916,23,746,1,17,14,81,15,19,80,35,23,6,6,10
"E01004277",898,826,30,656,2,41,13,64,9,11,72,27,21,2,16,6
"E01004280",769,608,73,410,8,14,8,45,41,9,161,61,14,31,31,24
"E01004281",831,758,31,600,3,14,9,58,29,14,73,20,16,12,14,11
"E01004283",756,511,103,258,6,14,20,41,47,22,245,100,28,27,67,23
"E01004284",884,666,91,446,3,9,14,40,51,12,218,95,15,18,60,30
"E01004285",658,432,103,181,8,7,29,25,64,15,226,91,15,37,50,33
"E01004286",817,557,99,310,7,12,17,40,58,14,260,119,9,46,65,21
"E01004287",854,523,110,277,5,13,27,35,34,22,331,171,22,32,80,26
"E01004288",525,337,76,174,4,3,11,20,44,5,188,84,4,40,39,21
"E01004289",670,417,82,191,3,11,18,44,39,29,253,132,29,18,50,24
"E01004290",575,402,46,243,2,5,12,40,23,31,173,91,19,14,30,19
"E01004291",1051,896,39,664,2,46,29,81,25,10,155,92,13,11,25,14
"E01004292",818,743,32,595,5,19,15,57,11,9,75,37,12,8,12,6
"E01004293",1133,974,44,753,4,29,19,98,20,7,159,101,14,7,23,14
"E01004294",877,728,50,536,7,22,19,49,30,15,149,64,16,5,43,21
"E01004295",500,339,98,156,8,6,8,20,36,7,161,61,6,29,37,28
"E01004296",684,514,75,325,4,10,16,33,35,16,170,81,8,16,46,19
"E01004297",909,795,40,612,5,34,15,71,14,4,114,75,3,10,15,11
"E01004298",635,413,73,224,5,11,12,26,52,10,222,84,18,31,51,38
"E01004300",522,324,68,169,3,9,17,21,29,8,198,93,5,20,57,23
"E01004301",413,280,47,151,5,6,12,24,28,7,133,54,9,23,28,19
"E01004302",637,475,102,240,14,11,16,22,47,23,162,48,14,44,39,17
"E01004303",967,708,100,419,9,16,21,51,52,40,259,103,27,43,57,29
"E01004304",653,409,80,208,11,10,15,26,37,22,244,98,20,39,62,25
"E01004305",699,439,98,219,10,18,15,18,43,18,260,113,17,45,58,27
"E01004306",687,538,49,323,2,30,16,72,34,12,149,60,19,18,28,24
"E01004307",1014,896,50,657,2,22,25,80,40,20,118,30,44,6,22,16
"E01004308",504,340,51,198,1,11,12,37,18,12,164,77,9,16,41,21
"E01004309",902,642,118,344,3,14,16,46,80,21,260,102,23,33,65,37
"E01004310",793,578,67,353,9,16,21,51,38,23,215,105,16,11,54,29
"E01004311",644,414,52,221,4,13,12,46,45,21,230,103,14,19,61,33
"E01004312",628,396,61,215,5,8,23,30,50,4,232,119,9,29,53,22
"E01004313",812,580,76,353,6,16,20,48,44,17,232,89,27,40,55,21
"E01004314",493,374,29,211,1,28,20,72,7,6,119,81,5,9,15,9
"E01004315",718,501,54,297,2,12,21,65,37,13,217,112,13,5,60,27
"E01004316",455,341,38,185,5,9,13,44,36,11,114,39,15,16,31,13
"E01004317",1193,1021,81,688,4,27,36,116,43,26,172,47,36,23,40,26
"E01004318",630,464,91,245,4,13,17,34,47,13,166,57,6,28,55,20
"E01004319",595,409,78,207,8,8,15,25,41,27,186,80,8,25,45,28
"E01004321",711,501,71,285,4,17,20,34,47,23,210,86,25,18,49,32
"E01004322",502,341,56,195,3,5,10,27,34,11,161,76,18,12,26,29
"E01004323",480,348,52,195,0,10,13,35,25,18,132,56,13,15,34,14
"E01004324",485,322,79,156,7,10,15,16,27,12,163,74,11,26,44,8
"E01004325",1033,886,57,641,6,15,10,79,43,35,147,38,53,14,27,15
"E01004326",623,441,68,234,5,9,15,51,26,33,182,73,21,17,47,24
"E01032764",643,515,51,364,1,11,14,39,21,14,128,58,12,20,25,13
"E01032765",645,479,47,352,2,5,10,25,28,10,166,52,20,27,49,18
"E01032766",601,516,41,360,2,16,14,38,24,21,85,17,19,16,17,16
"E01032767",767,702,16,578,2,19,7,48,17,15,65,15,27,4,10,9
"E01032768",696,644,14,543,1,13,12,41,12,8,52,19,14,3,10,6
"E01032769",593,526,33,390,5,20,15,37,18,8,67,22,10,6,19,10
"E01032770",572,470,26,361,3,3,6,30,30,11,102,55,15,9,13,10
"E01032771",546,453,29,344,1,13,2,34,25,5,93,15,31,17,18,12
"E01032772",544,407,26,289,2,10,11,32,20,17,137,53,39,10,22,13
"E01032773",852,724,46,558,2,8,13,49,34,14,128,9,61,30,12,16
"E01032774",583,457,52,293,2,5,12,38,43,12,126,31,23,21,35,16
"E01032775",600,548,22,424,2,20,7,53,9,11,52,13,12,10,9,8
"E01032776",631,546,16,440,0,19,7,37,17,10,85,7,50,11,6,11
"E01032777",514,446,38,333,2,6,4,28,25,10,68,10,16,10,18,14
