"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E01032774",583,211,13,198,275,1,127,62,24,33,8,2,2,0,0,0,56,41,7,6,2,89,45,29,15,97,12,18,4,0,63
"E01032775",600,245,6,239,265,2,160,95,37,22,6,1,1,0,0,0,76,68,8,0,0,26,14,4,8,90,1,0,6,0,83
"E01032776",631,317,2,315,225,2,119,77,31,10,1,4,4,0,0,0,79,70,5,2,2,21,13,4,4,89,4,2,9,0,74
"E01032777",514,178,7,171,228,1,113,49,32,26,6,4,4,0,0,0,67,52,6,7,2,43,21,13,9,108,8,9,9,0,82
"E01032778",564,205,5,200,236,1,121,65,32,16,8,2,2,0,0,0,74,66,3,5,0,38,22,11,5,123,7,3,17,0,96
"E01032779",565,220,2,218,250,0,120,69,26,21,4,1,1,0,0,0,74,65,6,3,0,55,21,29,5,95,3,5,7,1,79
"E01032780",647,194,2,192,274,5,164,99,41,21,3,4,4,0,0,0,84,76,4,4,0,17,6,2,9,179,4,3,15,1,156
"E01032781",771,271,11,260,354,5,199,126,44,22,7,5,5,0,0,0,113,103,7,2,1,32,14,8,10,146,6,9,7,0,124
"E01032782",776,364,9,355,297,2,137,64,11,53,9,4,4,0,0,0,88,83,2,3,0,66,26,31,9,115,6,22,20,0,67
"E01032783",661,275,42,233,257,4,137,77,24,22,14,1,1,0,0,0,60,47,10,3,0,55,14,16,25,129,10,9,6,0,104
"E01032784",692,214,44,170,292,6,101,48,16,27,10,3,3,0,0,0,112,101,4,6,1,70,28,27,15,186,9,11,28,0,138
"E01032785",616,181,17,164,274,2,115,49,34,30,2,6,6,0,0,0,103,93,4,6,0,48,26,14,8,161,4,9,8,0,140
"E01032786",674,269,60,209,286,14,140,33,26,71,10,1,1,0,0,0,52,35,5,8,4,79,31,25,23,119,8,12,4,1,94
"E01032787",793,208,48,160,374,8,224,23,41,127,33,0,0,0,0,0,48,32,6,7,3,94,30,35,29,211,23,55,11,1,121
