"GeographyCode","QS412EW0001","QS412EW0002","QS412EW0003","QS412EW0004","QS412EW0005","QS412EW0006"
"E01004197",964,99,226,498,117,24
"E01004198",606,60,115,328,82,21
"E01004199",574,31,112,313,95,23
"E01004200",585,36,134,336,64,15
"E01004201",619,73,168,282,85,11
"E01004202",713,38,153,406,95,21
"E01004203",689,62,193,337,73,24
"E01004204",631,72,126,327,85,21
"E01004205",688,36,108,360,142,42
"E01004206",554,52,71,307,84,40
"E01004207",515,44,108,266,66,31
"E01004208",788,52,179,416,108,33
"E01004209",466,19,80,238,95,34
"E01004211",720,40,125,464,70,21
"E01004212",720,47,139,410,91,33
"E01004214",665,53,123,370,94,25
"E01004215",1168,85,353,576,132,22
"E01004216",737,54,241,377,56,9
"E01004217",779,78,250,367,72,12
"E01004218",731,128,266,265,49,23
"E01004219",851,38,168,463,137,45
"E01004221",802,69,277,353,81,22
"E01004222",1048,96,225,585,100,42
"E01004223",938,66,279,481,91,21
"E01004224",806,79,240,393,80,14
"E01004225",1147,57,351,661,69,9
"E01004226",676,54,168,329,100,25
"E01004228",769,158,232,311,57,11
"E01004229",551,75,131,235,80,30
"E01004230",803,111,193,362,106,31
"E01004231",629,53,124,312,111,29
"E01004232",603,136,168,229,56,14
"E01004233",751,96,155,399,77,24
"E01004234",903,129,263,408,77,26
"E01004235",513,23,85,282,98,25
"E01004236",497,33,97,218,108,41
"E01004237",506,20,140,287,49,10
"E01004238",1058,66,181,599,165,47
"E01004239",533,43,139,243,68,40
"E01004240",574,38,132,239,122,43
"E01004241",570,69,99,281,93,28
"E01004242",898,45,172,488,158,35
"E01004243",614,64,137,262,113,38
"E01004244",686,110,147,339,68,22
"E01004245",433,30,67,219,89,28
"E01004246",747,84,222,319,98,24
"E01004247",714,86,175,314,104,35
"E01004248",441,41,70,233,74,23
"E01004249",758,70,153,406,104,25
"E01004250",866,59,235,388,159,25
"E01004251",779,64,162,377,137,39
"E01004252",1107,86,260,571,158,32
"E01004253",829,95,172,404,128,30
"E01004254",1046,82,409,482,61,12
"E01004255",647,31,164,325,96,31
"E01004256",611,52,136,288,100,35
"E01004257",618,73,120,278,113,34
"E01004258",713,94,257,298,53,11
"E01004259",812,35,154,496,100,27
"E01004260",636,55,174,270,102,35
"E01004261",550,106,86,244,75,39
"E01004262",495,87,110,207,59,32
"E01004263",529,70,137,225,75,22
"E01004264",457,33,88,199,96,41
"E01004266",583,105,134,254,69,21
"E01004267",707,50,158,385,98,16
"E01004268",688,19,103,405,122,39
"E01004269",726,70,157,340,124,35
"E01004270",745,114,192,291,105,43
"E01004271",548,53,127,243,100,25
"E01004272",639,44,98,295,143,59
"E01004273",594,37,116,276,123,42
"E01004274",654,92,186,251,92,33
"E01004275",768,119,270,305,62,12
"E01004276",996,81,384,457,66,8
"E01004277",898,59,379,421,33,6
"E01004280",769,69,263,338,81,18
"E01004281",831,78,258,409,73,13
"E01004283",756,80,156,346,131,43
"E01004284",884,30,221,493,107,33
"E01004285",658,47,119,288,143,61
"E01004286",817,60,240,365,115,37
"E01004287",854,56,182,440,146,30
"E01004288",525,30,137,209,114,35
"E01004289",670,98,158,293,79,42
"E01004290",575,60,129,304,67,15
"E01004291",1051,74,344,550,70,13
"E01004292",818,119,298,341,55,5
"E01004293",1133,101,416,553,53,10
"E01004294",877,52,243,487,77,18
"E01004295",500,42,103,233,93,29
"E01004296",684,26,146,388,95,29
"E01004297",909,83,359,394,61,12
"E01004298",635,40,121,353,92,29
"E01004300",522,35,122,261,74,30
"E01004301",413,26,71,208,73,35
"E01004302",637,21,84,343,129,60
"E01004303",967,80,267,476,111,33
"E01004304",653,45,120,344,106,38
"E01004305",699,52,163,330,119,35
"E01004306",687,62,149,359,86,31
"E01004307",1014,44,282,584,90,14
"E01004308",504,47,132,218,70,37
"E01004309",902,71,160,465,133,73
"E01004310",793,37,134,451,118,53
"E01004311",644,60,157,318,85,24
"E01004312",628,52,108,330,88,50
"E01004313",812,58,199,385,140,30
"E01004314",493,51,182,213,37,10
"E01004315",718,66,162,383,89,18
"E01004316",455,12,92,247,85,19
"E01004317",1193,71,259,705,133,25
"E01004318",630,35,125,369,76,25
"E01004319",595,46,115,273,104,57
"E01004321",711,50,117,404,100,40
"E01004322",502,19,101,295,61,26
"E01004323",480,32,113,229,83,23
"E01004324",485,46,99,186,109,45
"E01004325",1033,41,188,636,144,24
"E01004326",623,33,128,331,103,28
"E01032764",643,22,182,378,52,9
"E01032765",645,27,198,359,44,17
"E01032766",601,14,175,323,64,25
"E01032767",767,31,187,453,88,8
"E01032768",696,44,260,346,38,8
"E01032769",593,35,223,284,46,5
"E01032770",572,47,129,325,55,16
"E01032771",546,22,216,276,30,2
"E01032772",544,42,116,325,45,16
"E01032773",852,9,229,514,93,7
"E01032774",583,26,161,307,74,15
"E01032775",600,11,216,319,50,4
"E01032776",631,7,153,401,61,9
"E01032777",514,19,153,268,66,8
"E01032778",564,36,158,313,50,7
"E01032779",565,11,176,313,57,8
"E01032780",647,45,265,285,49,3
"E01032781",771,39,289,376,59,8
"E01032782",776,18,164,503,80,11
"E01032783",661,54,203,329,67,8
"E01032784",692,41,165,423,53,10
"E01032785",616,17,208,321,62,8
"E01032786",674,21,202,328,98,25
"E01032787",793,56,122,394,159,62
