"GeographyCode","QS408EW0001","QS408EW0002","QS408EW0003","QS408EW0004","QS408EW0005","QS408EW0006"
"E01004197",964,133,180,378,203,70
"E01004198",606,61,104,237,127,77
"E01004199",574,43,96,213,144,78
"E01004200",585,42,96,201,188,58
"E01004201",619,93,147,215,125,39
"E01004202",713,55,112,313,170,63
"E01004203",689,62,136,251,158,82
"E01004204",631,82,109,258,121,61
"E01004205",688,46,93,273,168,108
"E01004206",554,49,77,212,123,93
"E01004207",515,63,89,168,104,91
"E01004208",788,72,120,268,210,118
"E01004209",466,22,71,190,112,71
"E01004211",720,58,96,255,224,87
"E01004212",720,62,109,246,116,187
"E01004214",665,66,108,292,124,75
"E01004215",1168,122,249,347,287,163
"E01004216",737,79,210,283,127,38
"E01004217",779,111,198,305,130,35
"E01004218",731,168,190,243,80,50
"E01004219",851,42,117,285,280,127
"E01004221",802,88,206,305,145,58
"E01004222",1048,114,181,453,198,102
"E01004223",938,102,263,395,131,47
"E01004224",806,96,161,317,184,48
"E01004225",1147,103,227,346,343,128
"E01004226",676,73,145,250,148,60
"E01004228",769,233,164,218,118,36
"E01004229",551,98,108,169,110,66
"E01004230",803,145,169,254,146,89
"E01004231",629,61,120,220,146,82
"E01004232",603,210,113,143,102,35
"E01004233",751,108,144,339,99,61
"E01004234",903,242,205,260,134,62
"E01004235",513,33,83,201,123,73
"E01004236",497,43,89,178,94,93
"E01004237",506,31,102,240,90,43
"E01004238",1058,65,116,368,362,147
"E01004239",533,55,124,198,96,60
"E01004240",574,53,118,187,116,100
"E01004241",570,72,86,218,127,67
"E01004242",898,54,110,322,274,138
"E01004243",614,75,134,192,130,83
"E01004244",686,114,135,234,150,53
"E01004245",433,36,59,156,116,66
"E01004246",747,106,163,219,166,93
"E01004247",714,86,136,243,144,105
"E01004248",441,58,67,148,102,66
"E01004249",758,97,137,301,145,78
"E01004250",866,72,187,321,201,85
"E01004251",779,75,127,278,199,100
"E01004252",1107,88,161,430,307,121
"E01004253",829,104,160,278,193,94
"E01004254",1046,107,256,368,256,59
"E01004255",647,55,118,241,150,83
"E01004256",611,51,131,199,149,81
"E01004257",618,91,115,199,129,84
"E01004258",713,121,183,289,82,38
"E01004259",812,54,125,386,184,63
"E01004260",636,65,127,203,158,83
"E01004261",550,68,90,155,126,111
"E01004262",495,94,89,143,88,81
"E01004263",529,90,108,180,98,53
"E01004264",457,35,66,171,99,86
"E01004266",583,132,110,192,100,49
"E01004267",707,71,131,279,154,72
"E01004268",688,33,83,292,179,101
"E01004269",726,78,122,263,165,98
"E01004270",745,122,122,236,169,96
"E01004271",548,61,114,205,108,60
"E01004272",639,56,86,218,175,104
"E01004273",594,48,74,205,159,108
"E01004274",654,106,141,204,127,76
"E01004275",768,164,173,235,151,45
"E01004276",996,126,276,368,174,52
"E01004277",898,90,272,329,187,20
"E01004280",769,79,206,288,145,51
"E01004281",831,90,220,331,137,53
"E01004283",756,89,142,250,172,103
"E01004284",884,49,154,309,280,92
"E01004285",658,60,96,217,166,119
"E01004286",817,110,173,297,168,69
"E01004287",854,78,163,335,184,94
"E01004288",525,40,118,170,123,74
"E01004289",670,128,128,189,134,91
"E01004290",575,78,117,184,142,54
"E01004291",1051,107,250,372,248,74
"E01004292",818,146,237,266,137,32
"E01004293",1133,130,310,461,191,41
"E01004294",877,62,203,339,193,80
"E01004295",500,50,77,201,107,65
"E01004296",684,48,117,251,180,88
"E01004297",909,107,289,314,131,68
"E01004298",635,51,91,266,167,60
"E01004300",522,50,99,182,113,78
"E01004301",413,39,56,138,98,82
"E01004302",637,20,53,216,216,132
"E01004303",967,90,189,356,230,102
"E01004304",653,46,107,228,184,88
"E01004305",699,61,126,220,198,94
"E01004306",687,119,95,215,169,89
"E01004307",1014,70,184,375,304,81
"E01004308",504,67,92,170,114,61
"E01004309",902,71,111,333,240,147
"E01004310",793,48,107,285,225,128
"E01004311",644,60,140,244,138,62
"E01004312",628,64,96,234,138,96
"E01004313",812,67,151,263,229,102
"E01004314",493,121,146,137,57,32
"E01004315",718,88,146,267,148,69
"E01004316",455,31,75,158,132,59
"E01004317",1193,84,176,418,375,140
"E01004318",630,40,107,272,144,67
"E01004319",595,40,90,195,141,129
"E01004321",711,62,76,253,169,151
"E01004322",502,25,83,199,127,68
"E01004323",480,47,98,166,107,62
"E01004324",485,53,77,145,128,82
"E01004325",1033,46,115,350,397,125
"E01004326",623,31,111,246,153,82
"E01032764",643,25,103,246,216,53
"E01032765",645,40,105,250,192,58
"E01032766",601,24,86,224,196,71
"E01032767",767,38,131,313,206,79
"E01032768",696,56,158,236,210,36
"E01032769",593,54,164,231,120,24
"E01032770",572,50,102,199,168,53
"E01032771",546,34,117,202,146,47
"E01032772",544,46,60,191,128,119
"E01032773",852,21,49,279,357,146
"E01032774",583,48,66,227,188,54
"E01032775",600,24,153,255,147,21
"E01032776",631,22,134,211,132,132
"E01032777",514,21,105,205,139,44
"E01032778",564,45,114,212,160,33
"E01032779",565,24,128,252,122,39
"E01032780",647,67,209,241,93,37
"E01032781",771,59,185,292,179,56
"E01032782",776,27,55,196,378,120
"E01032783",661,61,145,275,141,39
"E01032784",692,46,95,216,275,60
"E01032785",616,30,86,244,205,51
"E01032786",674,37,171,275,131,60
"E01032787",793,62,112,280,198,141
