"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E02000864",3468,242,404,69,619,1366,707,35,26,6.97808535178777,11.6493656286044,1.98961937716263,17.8489042675894,39.3886966551326,20.3863898500577,1.00922722029988,0.749711649365629
"E02000865",2763,168,310,61,856,676,626,40,26,6.08034744842562,11.2196887441187,2.20774520448788,30.980817951502,24.466159971046,22.6565327542526,1.44770177343467,0.941006152732537
"E02000866",3829,540,767,53,303,1077,991,55,43,14.1028989292243,20.0313397753983,1.38417341342387,7.91329328806477,28.127448419953,25.8814311830765,1.436406372421,1.12300861843823
"E02000867",4307,302,818,173,564,846,1482,66,56,7.01184118876248,18.9923380543302,4.01671697237056,13.0949616902717,19.6424425354075,34.4091014627351,1.53238913396796,1.30020896215463
"E02000868",2618,245,440,26,429,512,885,55,26,9.35828877005348,16.8067226890756,0.993124522536287,16.3865546218487,19.5569136745607,33.8044308632544,2.10084033613445,0.993124522536287
"E02000869",2485,262,422,21,764,401,547,45,23,10.5432595573441,16.9818913480885,0.845070422535211,30.7444668008048,16.1368209255533,22.0120724346076,1.81086519114688,0.925553319919517
"E02000870",2560,251,427,50,712,454,604,32,30,9.8046875,16.6796875,1.953125,27.8125,17.734375,23.59375,1.25,1.171875
"E02000871",3107,138,351,102,489,1241,695,44,47,4.44158352108143,11.2970711297071,3.28290955906019,15.7386546507885,39.9420663018989,22.3688445445768,1.41615706469263,1.5127132281944
"E02000872",3088,225,446,38,911,342,1046,50,30,7.28626943005181,14.4430051813472,1.23056994818653,29.5012953367876,11.0751295336788,33.8730569948187,1.61917098445596,0.971502590673575
"E02000873",2792,224,437,66,1018,277,579,167,24,8.02292263610315,15.6518624641834,2.36389684813754,36.4613180515759,9.92120343839541,20.7378223495702,5.98137535816619,0.859598853868195
"E02000874",2494,164,299,26,861,467,603,41,33,6.57578187650361,11.9887730553328,1.04250200481155,34.5228548516439,18.7249398556536,24.178027265437,1.6439454691259,1.32317562149158
"E02000875",3437,160,391,54,670,1187,875,50,50,4.6552225778295,11.3762001745708,1.57113762001746,19.493744544661,34.5359324992726,25.4582484725051,1.45475705557172,1.45475705557172
"E02000876",2750,219,432,29,567,462,953,54,34,7.96363636363636,15.7090909090909,1.05454545454545,20.6181818181818,16.8,34.6545454545455,1.96363636363636,1.23636363636364
"E02000877",3252,193,425,22,574,1175,787,46,30,5.93480934809348,13.0688806888069,0.676506765067651,17.6506765067651,36.1316113161132,24.2004920049201,1.41451414514145,0.922509225092251
"E02000878",3900,377,625,50,482,762,1471,88,45,9.66666666666667,16.025641025641,1.28205128205128,12.3589743589744,19.5384615384615,37.7179487179487,2.25641025641026,1.15384615384615
"E02000879",2855,278,416,43,541,773,691,64,49,9.73730297723292,14.5709281961471,1.5061295971979,18.9492119089317,27.0753064798599,24.2031523642732,2.24168126094571,1.71628721541156
"E02000880",2090,167,337,33,704,204,586,35,24,7.99043062200957,16.1244019138756,1.57894736842105,33.6842105263158,9.76076555023923,28.0382775119617,1.67464114832536,1.14832535885167
"E02000881",2379,197,323,104,458,833,401,36,27,8.28079024800336,13.5771332492644,4.37158469945355,19.2517864649012,35.0147120638924,16.8558217738546,1.51324085750315,1.13493064312736
"E02000882",2884,140,285,266,721,1064,343,28,37,4.85436893203883,9.88210818307906,9.22330097087379,25,36.8932038834951,11.8932038834951,0.970873786407767,1.28294036061026
"E02000883",2880,178,260,61,553,1178,585,37,28,6.18055555555556,9.02777777777778,2.11805555555556,19.2013888888889,40.9027777777778,20.3125,1.28472222222222,0.972222222222222
"E02000884",3707,254,431,91,342,656,1833,60,40,6.85190180739142,11.6266522794713,2.45481521445913,9.2257890477475,17.6962503371999,49.4469921769625,1.61855948206097,1.07903965470731
"E02000885",2509,153,269,97,501,920,504,31,34,6.09804703068952,10.7214029493822,3.86608210442407,19.9681147867676,36.667995217218,20.087684336389,1.23555201275409,1.35512156237545
"E02000886",3185,356,677,49,740,244,1039,48,32,11.1773940345369,21.2558869701727,1.53846153846154,23.2339089481947,7.66091051805337,32.6216640502355,1.50706436420722,1.00470957613815
"E02000887",3165,213,401,75,889,744,759,47,37,6.72985781990521,12.6698262243286,2.3696682464455,28.088467614534,23.5071090047393,23.9810426540284,1.48499210110585,1.16903633491311
"E02000888",3306,280,626,140,511,551,1092,52,54,8.46944948578343,18.9352692075015,4.23472474289171,15.4567453115547,16.6666666666667,33.0308529945554,1.57289776164549,1.63339382940109
"E02000889",2879,364,588,64,420,433,916,53,41,12.6432789162904,20.4237582493921,2.22299409517193,14.5883987495658,15.0399444251476,31.8166029871483,1.84091698506426,1.42410559221952
"E02000890",3093,615,815,40,246,113,1146,77,41,19.8836081474297,26.3498221791141,1.29324280633689,7.95344325897187,3.65341092790171,37.0514064015519,2.48949240219851,1.32557387649531
"E02000891",5742,452,893,209,471,926,2628,89,74,7.87182166492511,15.5520724486242,3.63984674329502,8.20271682340648,16.1267850923023,45.7680250783699,1.54998258446534,1.28874956461163
"E02000893",2912,307,593,25,235,846,823,40,43,10.5425824175824,20.364010989011,0.858516483516484,8.07005494505495,29.0521978021978,28.2623626373626,1.37362637362637,1.47664835164835
"E02000894",4510,446,1040,58,140,617,2083,60,66,9.88913525498891,23.059866962306,1.2860310421286,3.10421286031042,13.6807095343681,46.1862527716186,1.33037694013304,1.46341463414634
"E02006853",3320,231,484,94,198,852,1346,55,60,6.9578313253012,14.578313253012,2.83132530120482,5.96385542168675,25.6626506024096,40.5421686746988,1.6566265060241,1.80722891566265
"E02006854",2991,307,472,94,59,359,1601,57,42,10.2641257104647,15.7806753594116,3.1427616181879,1.97258441992645,12.0026746907389,53.5272484119024,1.90571715145436,1.40421263791374
