"GeographyCode","QS302EW0001","QS302EW0002","QS302EW0003","QS302EW0004","QS302EW0005","QS302EW0006"
"E01004197",2329,1169,772,254,97,37
"E01004198",1529,682,481,213,118,35
"E01004199",1637,720,536,231,105,45
"E01004200",1566,895,486,119,48,18
"E01004201",1556,743,539,177,79,18
"E01004202",1705,938,539,140,63,25
"E01004203",1779,963,517,197,73,29
"E01004204",1582,692,483,260,108,39
"E01004205",2106,913,738,268,134,53
"E01004206",1492,642,482,205,120,43
"E01004207",1416,678,463,159,84,32
"E01004208",1976,1055,666,176,60,19
"E01004209",1366,653,437,176,74,26
"E01004211",1463,772,477,130,61,23
"E01004212",1780,888,598,176,85,33
"E01004214",1669,711,571,232,124,31
"E01004215",2756,1464,904,266,89,33
"E01004216",1619,881,524,154,50,10
"E01004217",1745,821,571,227,87,39
"E01004218",1750,959,574,157,41,19
"E01004219",2294,1156,766,250,96,26
"E01004221",1881,1048,604,145,63,21
"E01004222",2480,1074,802,381,156,67
"E01004223",2079,902,696,282,135,64
"E01004224",2000,932,693,241,101,33
"E01004225",2178,1275,732,136,28,7
"E01004226",1738,877,556,202,77,26
"E01004228",1857,920,619,196,92,30
"E01004229",1484,719,500,177,64,24
"E01004230",2101,1035,682,252,101,31
"E01004231",1793,788,686,191,102,26
"E01004232",1665,926,541,129,55,14
"E01004233",1821,829,609,249,95,39
"E01004234",2218,1262,664,213,60,19
"E01004235",1372,657,451,165,69,30
"E01004236",1679,719,597,223,98,42
"E01004237",1158,536,422,147,38,15
"E01004238",2733,1358,903,307,116,49
"E01004239",1649,703,571,249,99,27
"E01004240",1815,817,625,236,96,41
"E01004241",1621,679,587,232,94,29
"E01004242",2453,1203,848,253,102,47
"E01004243",1789,814,602,240,96,37
"E01004244",1885,835,595,281,129,45
"E01004245",1539,699,520,201,80,39
"E01004246",1977,992,678,207,75,25
"E01004247",1934,876,648,273,94,43
"E01004248",1344,579,453,195,82,35
"E01004249",2049,930,692,276,122,29
"E01004250",2342,1054,792,287,142,67
"E01004251",2082,919,755,243,118,47
"E01004252",2707,1329,962,268,109,39
"E01004253",2340,1001,820,353,130,36
"E01004254",2120,1337,636,104,31,12
"E01004255",1618,746,555,193,90,34
"E01004256",1729,772,593,222,106,36
"E01004257",1884,959,581,240,78,26
"E01004258",1506,808,481,125,69,23
"E01004259",1723,895,577,163,63,25
"E01004260",1790,871,573,218,98,30
"E01004261",2525,1398,838,181,69,39
"E01004262",1742,866,604,177,73,22
"E01004263",1419,638,458,209,80,34
"E01004264",1537,720,515,178,95,29
"E01004266",1545,741,509,199,78,18
"E01004267",1767,941,546,176,74,30
"E01004268",1784,841,581,232,90,40
"E01004269",1975,970,625,254,83,43
"E01004270",2236,1269,701,181,62,23
"E01004271",1589,751,549,194,67,28
"E01004272",2099,992,697,242,110,58
"E01004273",1904,893,599,259,109,44
"E01004274",1973,1002,649,214,83,25
"E01004275",1879,1078,568,155,54,24
"E01004276",2024,1249,670,90,10,5
"E01004277",1630,1075,483,52,11,9
"E01004280",1879,985,605,203,66,20
"E01004281",1770,1067,567,101,25,10
"E01004283",2317,1034,725,347,148,63
"E01004284",2302,1156,759,240,105,42
"E01004285",2318,1149,705,268,142,54
"E01004286",2364,1145,754,293,130,42
"E01004287",2171,1013,710,260,142,46
"E01004288",1620,685,585,211,110,29
"E01004289",1844,862,639,205,97,41
"E01004290",1302,631,429,153,63,26
"E01004291",1844,1052,590,139,46,17
"E01004292",1738,1119,484,103,24,8
"E01004293",2125,1229,678,149,54,15
"E01004294",1757,910,618,140,64,25
"E01004295",1516,625,574,199,89,29
"E01004296",1605,767,534,191,84,29
"E01004297",1826,1089,553,120,42,22
"E01004298",1637,728,517,237,113,42
"E01004300",1349,572,452,199,104,22
"E01004301",1324,643,442,149,67,23
"E01004302",1987,995,631,241,88,32
"E01004303",2362,1241,729,257,106,29
"E01004304",1957,844,727,232,98,56
"E01004305",1952,861,667,276,107,41
"E01004306",1799,942,573,174,82,28
"E01004307",2186,1322,685,126,42,11
"E01004308",1478,760,458,147,69,44
"E01004309",2852,1416,866,344,163,63
"E01004310",1971,939,627,239,116,50
"E01004311",1518,684,487,218,100,29
"E01004312",1614,709,539,217,106,43
"E01004313",2043,1017,691,216,92,27
"E01004314",1100,620,333,101,32,14
"E01004315",1628,756,494,226,102,50
"E01004316",1138,622,317,122,69,8
"E01004317",2706,1464,895,227,88,32
"E01004318",1459,674,548,137,72,28
"E01004319",1886,833,646,253,110,44
"E01004321",1822,812,609,236,117,48
"E01004322",1292,609,437,157,62,27
"E01004323",1466,711,488,159,74,34
"E01004324",1574,744,526,195,79,30
"E01004325",2487,1423,792,181,74,17
"E01004326",1444,688,501,159,75,21
"E01032764",1302,690,431,126,44,11
"E01032765",1488,809,440,144,64,31
"E01032766",1307,750,398,111,41,7
"E01032767",1584,1062,433,63,20,6
"E01032768",1307,821,400,53,23,10
"E01032769",1235,700,401,102,24,8
"E01032770",1191,672,396,79,34,10
"E01032771",1104,679,318,69,30,8
"E01032772",1135,616,329,123,46,21
"E01032773",1561,970,476,86,23,6
"E01032774",1298,707,416,120,35,20
"E01032775",1108,652,385,51,18,2
"E01032776",1076,682,334,46,9,5
"E01032777",1141,635,388,83,26,9
"E01032778",1108,654,381,55,16,2
"E01032779",1089,721,310,52,5,1
"E01032780",1333,836,409,67,12,9
"E01032781",1535,925,484,88,28,10
"E01032782",1614,923,500,120,52,19
"E01032783",1383,741,466,120,44,12
"E01032784",1516,851,461,124,58,22
"E01032785",1348,816,402,94,27,9
"E01032786",1561,738,543,174,88,18
"E01032787",2567,1177,905,310,126,49
