"GeographyCode","QS113EW0001","QS113EW0002","QS113EW0003","QS113EW0004","QS113EW0005","QS113EW0006","QS113EW0007","QS113EW0008","QS113EW0009","QS113EW0010","QS113EW0011","QS113EW0012","QS113EW0013","QS113EW0014","QS113EW0015","QS113EW0016","QS113EW0017","QS113EW0018","QS113EW0019","QS113EW0020","QS113EW0021","QS113EW0022","QS113EW0023","QS113EW0024","QS113EW0025","QS113EW0026","QS113EW0027","QS113EW0028","QS113EW0029","QS113EW0030","QS113EW0031"
"E02000864",3468,1210,379,831,1595,88,651,190,121,247,93,9,9,0,0,0,297,207,28,48,14,550,229,149,172,663,67,84,47,12,453
"E02000865",2763,984,213,771,1159,45,556,119,104,272,61,2,2,0,0,0,222,144,34,32,12,334,137,88,109,620,51,76,32,8,453
"E02000866",3829,1192,309,883,1764,85,800,242,138,295,125,20,18,1,0,1,449,324,56,54,15,410,154,122,134,873,54,71,87,10,651
"E02000867",4307,1443,227,1216,1884,52,743,302,129,249,63,22,21,0,0,1,584,512,40,24,8,483,205,156,122,980,54,65,113,4,744
"E02000868",2618,850,154,696,1054,33,454,135,78,195,46,9,9,0,0,0,333,285,16,26,6,225,68,65,92,714,35,66,53,5,555
"E02000869",2485,944,222,722,1008,45,439,142,83,171,43,13,13,0,0,0,250,198,31,18,3,261,96,63,102,533,34,48,27,7,417
"E02000870",2560,843,218,625,1116,51,478,85,79,240,74,10,9,1,0,0,254,190,29,23,12,323,135,87,101,601,51,59,42,3,446
"E02000871",3107,972,172,800,1534,40,795,173,161,392,69,14,13,1,0,0,229,155,34,29,11,456,184,153,119,601,87,119,67,8,320
"E02000872",3088,1049,158,891,1155,29,498,135,89,222,52,15,14,1,0,0,289,238,23,26,2,324,113,92,119,884,37,79,54,4,710
"E02000873",2792,891,200,691,1169,35,608,144,115,293,56,8,8,0,0,0,217,164,24,22,7,301,106,85,110,732,51,92,184,3,402
"E02000874",2494,869,162,707,1061,30,580,102,95,314,69,4,4,0,0,0,156,120,14,15,7,291,104,93,94,564,59,109,61,6,329
"E02000875",3437,1079,165,914,1622,38,851,159,146,474,72,5,5,0,0,0,236,173,30,30,3,492,151,169,172,736,58,141,79,2,456
"E02000876",2750,1018,134,884,1020,20,547,146,119,229,53,12,12,0,0,0,243,218,9,12,4,198,68,69,61,712,54,90,73,6,489
"E02000877",3252,878,204,674,1553,38,835,133,141,495,66,13,10,3,0,0,210,132,25,43,10,457,174,142,141,821,85,122,109,4,501
"E02000878",3900,1467,192,1275,1369,26,717,211,138,276,92,23,23,0,0,0,375,342,17,14,2,228,76,44,108,1064,60,135,94,2,773
"E02000879",2855,1030,309,721,1202,63,628,135,93,327,73,17,17,0,0,0,203,153,18,26,6,291,93,82,116,623,54,90,95,9,375
"E02000880",2090,722,173,549,821,28,460,94,91,233,42,4,4,0,0,0,140,103,23,10,4,189,50,59,80,547,53,79,62,4,349
"E02000881",2379,723,172,551,1255,23,631,113,85,353,80,4,4,0,0,0,185,106,31,34,14,412,152,150,110,401,62,114,18,8,199
"E02000882",2884,886,220,666,1474,38,827,153,141,458,75,4,3,0,1,0,229,156,30,36,7,376,119,126,131,524,73,143,25,3,280
"E02000883",2880,924,244,680,1458,56,695,123,105,378,89,6,6,0,0,0,170,90,30,37,13,531,207,160,164,498,66,115,34,8,275
"E02000884",3707,1273,107,1166,1233,18,610,225,114,219,52,16,16,0,0,0,374,340,20,11,3,215,71,71,73,1201,66,107,119,3,906
"E02000885",2509,858,234,624,1147,39,588,127,96,295,70,10,10,0,0,0,145,111,13,17,4,365,112,123,130,504,56,103,32,4,309
"E02000886",3185,1142,162,980,1407,39,740,284,151,241,64,19,19,0,0,0,352,290,35,20,7,257,103,66,88,636,57,70,31,6,472
"E02000887",3165,948,209,739,1593,48,759,161,132,381,85,4,4,0,0,0,236,133,49,41,13,546,233,178,135,624,86,115,27,12,384
"E02000888",3306,1140,139,1001,1517,32,843,279,166,341,57,16,14,2,0,0,361,305,29,21,6,265,101,92,72,649,65,94,65,2,423
"E02000889",2879,1112,149,963,1142,35,622,214,133,222,53,12,12,0,0,0,271,218,30,21,2,202,69,43,90,625,33,64,37,4,487
"E02000890",3093,1419,182,1237,1264,57,630,351,134,104,41,25,24,0,1,0,440,395,31,11,3,112,50,15,47,410,14,26,15,4,351
"E02000891",5742,2030,126,1904,2549,35,1294,609,278,322,85,28,27,0,0,1,671,570,40,51,10,521,212,175,134,1163,80,90,92,4,897
"E02000893",2912,1005,225,780,1394,49,748,259,165,239,85,14,12,1,0,1,238,171,31,30,6,345,132,110,103,513,63,44,45,5,356
"E02000894",4510,1546,118,1428,2098,33,1184,593,243,253,95,20,20,0,0,0,531,429,63,33,6,330,139,87,104,866,75,73,69,1,648
"E02006853",3320,1363,121,1242,1430,29,700,330,128,201,41,14,14,0,0,0,360,298,34,24,4,327,153,101,73,527,39,69,38,0,381
"E02006854",2991,1237,39,1198,1294,18,752,440,154,131,27,19,19,0,0,0,363,336,15,11,1,142,63,53,26,460,20,37,48,1,354
