"GeographyCode","QS612EW0001","QS612EW0002","QS612EW0003","QS612EW0004","QS612EW0005","QS612EW0006","QS612EW0007","QS612EW0008","QS612EW0009","QS612EW0010","QS612EW0011","QS612EW0012"
"E00021141",241,88,153,3,10,7,7,3,1,5,33,84
"E00021143",261,145,116,4,7,9,4,0,3,18,16,55
"E00021145",217,140,77,8,9,6,3,2,2,10,14,23
"E00021146",448,253,195,14,88,21,6,4,5,5,6,46
"E00021147",164,104,60,1,8,1,3,0,1,10,15,21
"E00021148",222,137,85,6,15,5,3,3,2,7,27,17
"E00021149",229,116,113,4,8,4,8,3,2,12,17,55
"E00021150",223,131,92,1,18,5,2,5,1,12,21,27
"E00021151",194,91,103,0,8,3,1,2,2,7,21,59
"E00021152",276,131,145,3,8,13,7,3,1,9,16,85
"E00021153",322,269,53,3,12,3,3,2,2,2,9,17
"E00021154",283,125,158,7,17,6,2,2,2,14,24,84
"E00021155",327,278,49,4,17,3,5,1,0,4,4,11
"E00021156",177,102,75,3,10,9,4,3,0,8,9,29
"E00021157",221,121,100,3,12,5,4,4,1,6,17,48
"E00021158",217,91,126,1,9,8,4,2,3,10,16,73
"E00021159",435,249,186,10,22,16,5,5,3,23,27,75
"E00021160",233,121,112,3,14,4,6,5,1,7,20,52
"E00021161",310,203,107,0,21,10,3,3,3,15,26,26
"E00021162",296,183,113,4,14,3,5,1,1,5,8,72
"E00021163",242,110,132,3,14,5,3,2,2,15,22,66
"E00021164",192,104,88,1,9,4,3,2,2,10,12,45
"E00021165",246,134,112,1,13,8,3,2,3,11,14,57
"E00021166",286,176,110,8,15,3,3,3,2,8,19,49
"E00021167",236,154,82,1,9,2,2,0,4,8,16,40
"E00021168",359,319,40,5,6,5,4,3,1,1,5,10
"E00021169",380,262,118,1,18,9,6,1,3,4,13,63
"E00021170",327,180,147,7,20,7,9,4,3,14,16,67
"E00021171",489,252,237,7,38,13,13,4,0,15,29,118
"E00021172",233,138,95,4,18,12,1,3,1,7,17,32
"E00021173",280,177,103,4,15,3,3,1,2,15,10,50
"E00021174",219,199,20,0,6,4,1,0,3,3,3,0
"E00021175",246,179,67,7,8,3,4,1,0,7,4,33
"E00021176",234,163,71,4,6,1,2,1,1,6,22,28
"E00021177",296,140,156,2,16,9,5,4,0,15,12,93
"E00021179",290,186,104,8,20,4,11,4,1,6,10,40
"E00021180",335,179,156,7,18,12,10,7,3,10,19,70
"E00021181",203,133,70,3,14,2,3,4,1,4,8,31
"E00021182",315,239,76,6,27,5,7,2,1,4,5,19
"E00021183",221,179,42,5,14,2,4,1,2,3,2,9
"E00021184",131,96,35,3,4,2,1,0,1,1,4,19
"E00021185",240,166,74,0,12,4,4,1,2,3,17,31
"E00021186",333,145,188,3,25,6,9,2,5,12,30,96
"E00021187",190,87,103,0,16,3,1,3,1,10,12,57
"E00021188",243,114,129,7,14,4,3,2,0,7,25,67
"E00021189",305,144,161,5,20,7,10,6,2,1,19,91
"E00021190",397,257,140,6,14,10,7,4,5,16,14,64
"E00021191",297,163,134,12,7,5,7,1,1,6,8,87
"E00021192",233,116,117,2,9,3,7,2,4,7,21,62
"E00021193",314,246,68,8,20,7,2,5,3,4,0,19
"E00021194",408,197,211,7,23,7,3,7,1,20,23,120
"E00021195",286,150,136,4,14,4,7,3,2,7,13,82
"E00021196",245,111,134,2,10,3,1,1,7,17,15,78
"E00021197",459,245,214,5,31,18,5,2,5,9,14,125
"E00021198",214,110,104,4,9,5,3,3,2,7,13,58
"E00021199",143,78,65,2,9,5,3,2,2,10,11,21
"E00021200",246,126,120,4,21,1,2,3,3,4,15,67
"E00021201",232,136,96,8,13,4,0,3,4,9,13,42
"E00021202",179,85,94,2,6,7,1,3,5,4,10,56
"E00021203",189,100,89,4,12,2,1,0,6,6,16,42
"E00021204",336,163,173,4,22,7,10,1,2,4,25,98
"E00021205",245,110,135,2,16,5,3,4,6,6,14,79
"E00021206",153,67,86,3,8,2,2,5,1,9,9,47
"E00021207",232,189,43,6,7,3,3,1,1,3,8,11
"E00021208",223,100,123,7,18,8,7,3,4,6,12,58
"E00021209",179,96,83,2,5,4,3,1,2,8,8,50
"E00021210",224,121,103,2,13,6,1,2,0,4,8,67
"E00021211",300,194,106,7,16,6,2,1,2,5,14,53
"E00021212",203,92,111,2,8,5,3,2,2,11,7,71
"E00021213",298,140,158,6,13,9,5,5,0,13,18,89
"E00021214",394,182,212,9,39,17,5,3,2,7,18,112
"E00021215",423,233,190,7,43,18,9,4,2,10,3,94
"E00021216",260,128,132,2,8,15,4,6,4,10,23,60
"E00021217",426,150,276,7,48,14,6,4,3,14,13,167
"E00021218",399,287,112,11,19,13,5,4,7,6,15,32
"E00021219",194,134,60,0,7,3,4,2,2,7,15,20
"E00021220",287,226,61,3,14,6,2,2,1,7,2,24
"E00021223",353,291,62,3,11,8,5,2,1,3,3,26
"E00021224",329,217,112,3,16,4,4,3,3,10,20,49
"E00021225",222,138,84,3,10,6,4,2,1,12,21,25
"E00021227",214,156,58,0,12,6,3,3,1,3,15,15
"E00021228",268,158,110,3,19,8,4,4,2,9,20,41
"E00021229",215,112,103,2,12,9,4,2,2,7,18,47
"E00021230",204,140,64,0,6,6,7,4,3,7,19,12
"E00021231",169,107,62,1,3,5,5,1,1,13,18,15
"E00021235",242,86,156,4,11,11,10,8,2,10,21,79
"E00021236",236,155,81,3,8,5,2,7,2,1,8,45
"E00021238",366,288,78,4,18,8,3,3,3,8,6,25
"E00021239",253,209,44,2,13,4,2,0,5,3,3,12
"E00021240",283,245,38,2,10,2,3,1,1,5,4,10
"E00021241",249,206,43,4,6,10,1,3,0,3,3,13
"E00021243",269,148,121,5,12,6,11,0,5,18,12,52
"E00021244",185,75,110,3,9,8,6,5,5,14,32,28
"E00021245",176,94,82,2,7,7,3,0,4,10,16,33
"E00021246",383,218,165,3,17,12,5,9,6,16,23,74
"E00021247",266,128,138,3,10,6,5,4,3,8,17,82
"E00021248",236,134,102,0,12,7,4,3,6,10,15,45
"E00021249",242,122,120,2,9,6,5,2,5,14,26,51
"E00021251",210,121,89,5,6,8,5,3,2,14,14,32
"E00021252",240,207,33,0,5,4,3,0,2,5,1,13
"E00021253",234,123,111,5,12,9,5,3,4,6,21,46
"E00021254",203,163,40,1,8,3,3,0,3,5,1,16
"E00021255",193,163,30,1,7,6,3,0,0,4,2,7
"E00021256",213,155,58,1,11,9,2,0,2,3,1,29
"E00021257",207,153,54,1,11,7,1,3,1,8,5,17
"E00021258",238,126,112,3,10,5,4,3,5,11,21,50
"E00021259",297,163,134,5,20,8,4,4,1,14,25,53
"E00021260",245,120,125,3,15,13,3,2,2,15,26,46
"E00021261",193,124,69,2,10,7,3,2,1,8,11,25
"E00021262",201,111,90,3,8,5,8,2,0,10,12,42
"E00021263",308,228,80,5,21,5,4,3,4,6,11,21
"E00021266",225,176,49,3,7,8,2,2,2,5,7,13
"E00021267",232,139,93,5,11,8,6,5,4,9,11,34
"E00021268",190,126,64,3,10,4,9,2,1,7,6,22
"E00021271",303,176,127,4,19,4,4,2,6,10,35,43
"E00021272",177,93,84,8,9,4,1,2,3,2,14,41
"E00021273",202,112,90,0,5,8,3,1,3,7,28,35
"E00021274",360,158,202,5,24,5,4,6,5,20,31,102
"E00021275",188,96,92,2,6,4,4,9,1,15,17,34
"E00021277",192,93,99,3,13,8,1,3,6,11,24,30
"E00021278",136,67,69,4,13,4,1,1,2,8,8,28
"E00021279",300,141,159,3,14,11,4,7,4,16,40,60
"E00021280",230,143,87,5,18,4,11,1,2,8,17,21
"E00021281",427,289,138,7,28,10,8,6,2,7,23,47
"E00021282",320,202,118,8,10,6,4,4,0,13,22,51
"E00021285",111,94,17,1,4,1,0,2,0,2,3,4
"E00021286",205,157,48,5,7,1,2,2,2,6,13,10
"E00021287",266,251,15,3,5,5,0,1,0,0,0,1
"E00021288",223,203,20,4,3,4,1,1,0,1,1,5
"E00021289",200,103,97,2,13,6,4,5,4,9,11,43
"E00021290",231,115,116,4,16,6,9,2,0,13,19,47
"E00021291",369,326,43,2,17,7,4,2,1,2,2,6
"E00021292",215,105,110,7,12,11,6,5,3,10,14,42
"E00021294",356,163,193,4,17,8,8,7,4,20,28,97
"E00021295",320,212,108,5,24,5,5,0,4,6,8,51
"E00021296",293,226,67,6,12,3,3,3,1,5,15,19
"E00021297",315,220,95,7,17,4,7,1,0,12,17,30
"E00021298",358,274,84,5,23,7,6,5,3,16,5,14
"E00021299",365,239,126,8,24,10,6,0,2,16,16,44
"E00021300",420,306,114,7,30,10,9,3,2,11,10,32
"E00021301",311,144,167,6,11,14,6,6,3,15,22,84
"E00021302",375,231,144,5,33,11,5,7,2,14,15,52
"E00021303",277,140,137,3,18,12,9,1,5,10,17,62
"E00021304",280,175,105,5,15,5,6,2,3,6,15,48
"E00021305",208,158,50,6,6,3,3,0,1,8,7,16
"E00021306",217,162,55,2,9,2,1,4,2,12,11,12
"E00021307",431,309,122,10,24,8,5,4,6,13,14,38
"E00021308",360,206,154,9,32,10,6,2,4,9,18,64
"E00021309",177,159,18,1,6,1,0,0,0,2,3,5
"E00021310",195,108,87,1,23,5,4,1,2,10,20,21
"E00021311",236,131,105,1,14,3,3,4,4,6,13,57
"E00021312",231,156,75,0,17,4,5,4,4,6,10,25
"E00021313",390,272,118,7,21,14,3,4,2,6,19,42
"E00021314",296,225,71,5,11,8,4,3,2,5,15,18
"E00021315",107,35,72,1,2,6,2,1,4,18,29,9
"E00021316",228,123,105,4,14,4,1,0,0,12,17,53
"E00021317",250,190,60,4,10,4,3,3,2,11,11,12
"E00021318",250,155,95,2,17,13,5,8,1,7,19,23
"E00021319",260,140,120,8,14,5,7,6,1,11,26,42
"E00021320",242,146,96,3,11,5,4,3,2,11,20,37
"E00021321",237,151,86,3,18,3,2,4,1,8,16,31
"E00021322",231,124,107,4,10,5,4,6,4,10,21,43
"E00021323",262,128,134,3,7,12,5,3,1,6,22,75
"E00021324",299,209,90,9,20,3,2,9,1,14,8,24
"E00021325",293,180,113,4,21,8,6,7,7,6,13,41
"E00021326",292,156,136,5,12,7,7,1,5,10,15,74
"E00021327",328,229,99,3,16,6,8,6,2,7,27,24
"E00021328",301,182,119,4,14,4,3,3,1,12,13,65
"E00021329",307,147,160,12,25,13,5,5,2,13,33,52
"E00021330",254,135,119,0,10,10,5,6,3,9,15,61
"E00021331",145,101,44,2,3,3,2,1,1,5,6,21
"E00021332",326,142,184,6,7,7,7,3,2,14,27,111
"E00021333",253,116,137,3,9,5,4,10,1,9,31,65
"E00021334",273,153,120,2,16,5,2,2,3,14,24,52
"E00021335",406,197,209,5,31,11,9,8,2,15,31,97
"E00021336",177,100,77,0,10,3,3,3,3,8,13,34
"E00021337",242,114,128,3,15,13,7,2,1,5,16,66
"E00021338",285,130,155,4,11,11,5,4,5,20,14,81
"E00021339",264,165,99,7,12,4,4,4,1,6,16,45
"E00021340",327,202,125,5,21,16,9,5,5,5,12,47
"E00021342",206,107,99,3,12,5,0,4,2,7,10,56
"E00021344",364,154,210,1,20,9,5,11,4,14,24,122
"E00021345",234,126,108,8,12,6,11,3,3,9,4,52
"E00021346",219,106,113,5,11,12,2,6,0,6,14,57
"E00021347",257,133,124,0,21,4,5,1,5,10,19,59
"E00021349",287,144,143,8,17,7,2,4,3,9,16,77
"E00021350",238,117,121,2,10,8,7,2,3,11,17,61
"E00021351",240,131,109,2,9,6,8,5,1,15,14,49
"E00021352",200,131,69,4,8,3,9,4,2,7,8,24
"E00021353",208,95,113,1,12,5,5,4,2,11,14,59
"E00021354",346,168,178,7,12,9,7,3,3,10,25,102
"E00021355",254,174,80,6,14,5,4,4,2,9,11,25
"E00021357",270,102,168,6,12,11,2,5,3,11,15,103
"E00021359",231,131,100,6,7,5,2,2,2,9,15,52
"E00021360",293,141,152,9,17,5,8,2,3,9,13,86
"E00021361",233,109,124,9,10,9,4,5,3,13,13,58
"E00021363",248,120,128,3,7,3,2,1,4,9,17,82
"E00021364",404,204,200,4,34,10,6,2,4,15,27,98
"E00021365",223,135,88,4,13,13,4,1,0,10,13,30
"E00021366",240,121,119,2,12,5,4,2,9,8,24,53
"E00021367",208,104,104,6,23,8,4,0,4,5,19,35
"E00021368",289,143,146,18,21,3,7,1,2,9,16,69
"E00021369",143,69,74,3,4,5,1,1,2,7,12,39
"E00021370",409,171,238,4,21,12,10,5,5,13,27,141
"E00021371",120,45,75,2,7,4,2,0,2,6,6,46
"E00021372",270,161,109,1,17,7,3,0,0,10,16,55
"E00021374",271,120,151,4,11,4,3,2,2,10,28,87
"E00021375",251,121,130,6,14,7,4,4,1,13,11,70
"E00021376",254,110,144,6,13,8,3,3,4,6,25,76
"E00021377",398,234,164,7,17,7,3,6,6,18,20,80
"E00021378",323,173,150,3,30,4,12,2,4,9,22,64
"E00021379",211,116,95,1,2,6,6,3,2,9,26,40
"E00021380",256,98,158,10,13,15,3,5,3,25,39,45
"E00021381",262,125,137,1,19,6,2,6,4,16,19,64
"E00021382",232,111,121,5,11,6,2,3,2,18,17,57
"E00021383",345,150,195,3,12,9,8,8,2,19,36,98
"E00021384",194,171,23,1,12,1,0,0,2,0,2,5
"E00021385",321,207,114,3,18,8,3,3,2,6,16,55
"E00021386",249,120,129,6,8,8,7,2,1,12,19,66
"E00021387",475,256,219,8,18,9,4,4,5,16,37,118
"E00021388",240,119,121,5,11,5,3,1,2,21,24,49
"E00021391",316,132,184,4,30,4,8,2,4,15,19,98
"E00021392",287,185,102,7,18,5,9,1,4,9,12,37
"E00021393",278,132,146,4,17,7,3,3,4,8,26,74
"E00021394",238,108,130,1,20,5,3,3,3,10,25,60
"E00021395",204,90,114,0,9,5,9,2,0,17,22,50
"E00021396",240,120,120,3,8,8,5,3,4,16,28,45
"E00021397",338,154,184,4,18,8,6,7,3,22,26,90
"E00021398",345,198,147,4,9,8,8,4,2,9,22,81
"E00021399",297,192,105,2,18,5,8,6,1,13,14,38
"E00021400",264,147,117,4,13,7,9,5,3,9,16,51
"E00021402",206,119,87,8,10,3,4,3,0,12,16,31
"E00021404",237,203,34,3,10,10,3,1,0,2,2,3
"E00021405",325,195,130,8,14,3,6,0,4,10,20,65
"E00021406",259,142,117,5,10,12,3,8,1,9,23,46
"E00021407",326,149,177,6,15,16,5,7,5,10,27,86
"E00021408",301,241,60,1,15,12,4,0,1,5,3,19
"E00021409",243,219,24,2,7,1,0,2,0,7,1,4
"E00021410",244,155,89,2,8,1,6,2,3,7,17,43
"E00021411",292,179,113,0,10,5,5,3,3,10,28,49
"E00021412",350,183,167,6,23,6,5,3,2,15,17,90
"E00021413",277,141,136,5,14,6,7,4,1,6,13,80
"E00021414",270,122,148,0,15,9,2,1,3,15,13,90
"E00021415",251,136,115,6,8,5,9,2,5,11,10,59
"E00021416",254,150,104,0,12,8,5,1,4,6,18,50
"E00021417",218,122,96,1,9,8,8,6,3,11,16,34
"E00021418",192,165,27,5,10,4,0,1,0,1,1,5
"E00021419",276,122,154,3,15,6,6,3,2,10,16,93
"E00021420",227,144,83,2,10,1,5,7,1,6,15,36
