"GeographyCode","QS118EW0001","QS118EW0002","QS118EW0003","QS118EW0004","QS118EW0005","QS118EW0006","QS118EW0007","QS118EW0008","QS118EW0009","QS118EW0010","QS118EW0011","QS118EW0012"
"E00021141",67,27,5,5,8,4,2,3,9,2,2,84
"E00021143",79,28,6,6,4,10,6,2,11,6,0,116
"E00021145",49,31,7,3,1,1,2,2,1,1,0,32
"E00021146",46,38,5,0,1,0,0,1,1,0,0,11
"E00021147",46,17,6,5,6,3,4,3,2,0,0,46
"E00021148",59,34,4,3,4,6,2,0,4,2,0,48
"E00021149",80,26,5,3,7,7,12,1,13,5,1,124
"E00021150",68,34,4,6,6,3,0,2,9,4,0,70
"E00021151",55,20,1,6,10,4,2,2,2,6,2,73
"E00021152",78,29,6,4,8,5,7,1,8,7,3,105
"E00021153",68,58,5,1,0,1,1,0,2,0,0,17
"E00021154",80,26,6,3,7,4,8,3,9,14,0,129
"E00021155",62,50,0,2,1,2,0,1,4,2,0,32
"E00021156",43,21,7,1,1,5,2,0,6,0,0,47
"E00021157",78,27,7,5,6,9,5,1,11,7,0,113
"E00021158",72,19,10,6,3,4,10,4,12,3,1,122
"E00021159",118,68,10,5,10,8,3,2,8,3,1,95
"E00021160",63,27,4,1,2,5,7,1,9,6,1,90
"E00021161",83,41,8,6,4,9,5,1,5,3,1,77
"E00021162",60,28,4,5,4,6,3,0,7,2,1,75
"E00021163",56,27,5,2,3,1,2,3,7,5,1,69
"E00021164",57,21,4,1,13,6,1,2,8,1,0,70
"E00021165",67,25,8,4,8,3,2,2,5,9,1,93
"E00021166",73,34,3,3,4,3,7,3,11,5,0,95
"E00021167",63,34,3,3,2,5,1,2,10,2,1,71
"E00021168",63,56,1,1,0,0,1,1,2,1,0,15
"E00021169",108,63,9,5,5,8,2,4,9,3,0,97
"E00021170",106,37,13,6,5,8,10,4,19,2,2,147
"E00021171",135,60,10,3,11,15,7,1,16,10,2,174
"E00021172",53,25,4,4,8,3,5,1,1,1,1,45
"E00021173",73,27,12,3,8,5,2,1,8,7,0,93
"E00021174",65,57,4,1,2,1,0,0,0,0,0,9
"E00021175",45,24,5,2,1,1,3,2,5,2,0,47
"E00021176",73,41,7,6,7,1,2,1,6,1,1,53
"E00021177",86,33,7,4,2,7,8,3,14,7,1,129
"E00021179",64,47,0,4,2,1,1,0,3,6,0,42
"E00021180",90,32,12,7,7,10,4,0,12,6,0,114
"E00021181",41,27,2,2,3,4,0,1,2,0,0,24
"E00021182",64,43,8,4,4,1,3,0,1,0,0,28
"E00021183",49,44,2,2,0,0,1,0,0,0,0,9
"E00021184",34,20,2,3,0,0,2,0,5,2,0,41
"E00021185",66,33,3,2,6,4,6,4,5,2,1,69
"E00021186",85,35,5,3,11,7,5,2,6,9,2,111
"E00021187",74,21,7,5,6,9,7,1,12,6,0,114
"E00021188",52,27,5,2,5,2,2,1,5,3,0,51
"E00021189",79,35,8,3,7,4,5,7,4,5,1,90
"E00021190",75,44,6,1,2,6,2,0,7,5,2,84
"E00021191",83,38,10,1,6,8,3,0,11,4,2,108
"E00021192",68,21,11,2,6,3,6,5,11,3,0,93
"E00021193",55,48,4,0,0,2,1,0,0,0,0,10
"E00021194",111,33,9,9,7,12,12,3,15,10,1,170
"E00021195",79,35,8,0,4,2,1,4,10,14,1,114
"E00021196",79,20,6,4,6,12,6,0,19,5,1,144
"E00021197",92,61,7,3,5,7,1,0,4,4,0,57
"E00021198",62,21,2,5,5,3,8,2,11,4,1,105
"E00021199",31,9,9,3,2,2,1,0,4,1,0,43
"E00021200",59,21,5,3,7,3,4,4,8,4,0,82
"E00021201",62,28,3,3,3,5,6,0,8,6,0,81
"E00021202",61,17,4,4,5,5,7,2,9,8,0,108
"E00021203",51,28,6,1,1,2,7,1,3,2,0,45
"E00021204",79,40,7,5,5,4,3,3,5,5,2,78
"E00021205",68,24,6,6,6,5,2,4,10,5,0,96
"E00021206",51,16,6,2,3,4,4,0,9,7,0,80
"E00021207",58,51,5,0,1,0,0,1,0,0,0,8
"E00021208",63,26,8,4,4,3,3,2,8,4,1,75
"E00021209",52,21,4,3,5,7,4,0,7,1,0,65
"E00021210",58,23,5,6,3,6,3,5,3,4,0,69
"E00021211",66,31,8,1,2,8,5,0,8,3,0,75
"E00021212",50,14,6,4,4,4,2,2,7,4,3,79
"E00021213",77,26,9,3,9,7,4,1,13,4,1,116
"E00021214",92,41,11,4,4,8,3,1,11,8,1,119
"E00021215",57,40,7,2,3,1,1,1,2,0,0,26
"E00021216",55,22,6,4,2,9,5,1,3,2,1,67
"E00021217",77,30,5,5,4,10,6,1,10,6,0,103
"E00021218",134,76,16,2,14,12,9,1,4,0,0,91
"E00021219",73,49,9,4,2,2,2,0,4,1,0,41
"E00021220",93,55,16,3,4,11,2,0,2,0,0,55
"E00021223",99,73,7,5,5,5,1,0,0,2,1,38
"E00021224",86,48,6,7,5,4,5,2,7,2,0,73
"E00021225",75,44,6,5,4,7,2,2,4,1,0,55
"E00021227",69,37,11,3,6,5,5,0,1,1,0,47
"E00021228",82,45,8,1,7,5,4,2,6,4,0,77
"E00021229",70,23,6,5,6,14,5,0,8,3,0,92
"E00021230",66,46,8,3,1,5,1,0,0,2,0,33
"E00021231",47,29,8,1,2,4,0,1,2,0,0,28
"E00021235",88,27,7,5,10,6,11,1,14,7,0,135
"E00021236",75,31,6,11,4,8,3,0,8,4,0,89
"E00021238",87,66,9,0,2,5,2,1,0,2,0,33
"E00021239",78,55,11,0,2,10,0,0,0,0,0,33
"E00021240",64,49,6,0,2,3,2,2,0,0,0,22
"E00021241",48,31,9,1,1,4,1,0,0,0,1,24
"E00021243",100,39,7,7,5,13,6,3,16,4,0,133
"E00021244",50,20,9,4,3,3,1,1,8,1,0,58
"E00021245",64,34,7,4,3,7,1,1,4,2,1,55
"E00021246",130,68,9,5,4,12,6,7,11,7,1,140
"E00021247",88,29,4,1,12,11,5,5,10,11,0,150
"E00021248",100,20,13,7,9,32,6,1,8,3,1,153
"E00021249",95,46,3,5,11,6,10,3,6,4,1,100
"E00021251",69,28,11,6,8,3,3,0,7,3,0,74
"E00021252",59,39,9,0,3,4,2,1,1,0,0,29
"E00021253",58,23,9,5,3,5,4,3,3,3,0,70
"E00021254",52,29,9,3,1,8,1,0,0,1,0,34
"E00021255",59,38,13,1,1,5,1,0,0,0,0,28
"E00021256",56,37,9,3,0,4,1,1,1,0,0,29
"E00021257",64,34,10,2,9,5,3,1,0,0,0,39
"E00021258",78,23,7,4,12,8,7,2,11,2,2,108
"E00021259",85,34,4,4,13,3,8,2,11,6,0,107
"E00021260",63,32,1,1,7,3,4,2,7,6,0,79
"E00021261",65,30,13,0,3,6,4,1,1,7,0,65
"E00021262",80,37,7,4,7,6,4,0,15,0,0,92
"E00021263",98,47,27,5,2,8,5,0,2,2,0,77
"E00021266",66,33,4,13,2,8,1,2,3,0,0,55
"E00021267",87,39,14,9,5,12,4,0,2,2,0,76
"E00021268",61,26,7,4,7,5,5,4,3,0,0,58
"E00021271",93,59,4,3,7,1,3,2,9,5,0,75
"E00021272",49,29,2,2,4,1,4,0,5,2,0,46
"E00021273",70,43,4,5,3,2,4,2,6,1,0,56
"E00021274",130,44,11,6,15,7,13,4,19,10,1,184
"E00021275",55,27,5,4,2,2,5,2,6,2,0,62
"E00021277",60,34,4,2,6,4,4,1,1,4,0,49
"E00021278",40,14,6,5,4,3,1,0,4,3,0,58
"E00021279",103,41,11,6,13,3,4,0,14,9,2,135
"E00021280",57,27,13,3,5,4,0,1,3,0,1,46
"E00021281",113,60,15,7,7,7,3,1,7,6,0,103
"E00021282",81,46,7,5,4,5,1,1,3,9,0,76
"E00021285",30,23,3,1,0,2,0,0,1,0,0,11
"E00021286",51,37,1,6,1,3,1,0,2,0,0,23
"E00021287",80,71,5,1,1,1,0,0,1,0,0,12
"E00021288",53,40,10,2,0,1,0,0,0,0,0,14
"E00021289",83,21,9,7,6,13,7,3,13,4,0,129
"E00021290",81,32,7,7,7,5,6,0,11,6,0,110
"E00021291",109,105,3,0,0,1,0,0,0,0,0,5
"E00021292",72,29,9,5,5,5,0,4,10,5,0,90
"E00021294",125,34,16,6,7,4,6,5,34,11,2,234
"E00021295",83,51,6,2,6,4,3,2,5,3,1,60
"E00021296",85,60,5,1,0,10,2,6,0,1,0,45
"E00021297",96,48,15,3,6,9,4,2,5,4,0,84
"E00021298",93,61,10,4,2,6,5,1,3,1,0,53
"E00021299",97,61,8,1,6,8,3,1,5,4,0,74
"E00021300",94,55,7,4,5,9,8,1,4,1,0,70
"E00021301",131,37,15,11,9,21,6,1,22,7,2,204
"E00021302",96,53,8,4,6,5,4,4,10,1,1,89
"E00021303",76,32,14,2,9,5,3,4,5,1,1,74
"E00021304",72,33,5,6,11,1,2,2,7,5,0,71
"E00021305",52,29,4,2,3,5,1,1,7,0,0,50
"E00021306",64,45,6,2,0,1,5,1,1,3,0,34
"E00021307",80,58,9,1,2,3,3,0,3,1,0,37
"E00021308",83,43,6,3,8,4,5,2,3,8,1,88
"E00021309",48,38,6,0,1,1,0,1,1,0,0,14
"E00021310",53,33,3,4,1,2,1,0,5,4,0,45
"E00021311",74,25,14,4,4,9,3,3,7,5,0,100
"E00021312",70,34,2,5,1,9,5,3,10,1,0,78
"E00021313",113,69,16,4,5,5,5,1,7,1,0,84
"E00021314",79,39,6,4,7,11,6,2,3,1,0,69
"E00021315",17,15,0,0,1,1,0,0,0,0,0,3
"E00021316",59,24,6,3,7,2,4,3,8,2,0,83
"E00021317",87,51,5,2,4,8,6,3,6,2,0,69
"E00021318",62,38,6,1,5,6,0,0,4,2,0,44
"E00021319",64,26,3,10,8,7,3,1,6,0,0,70
"E00021320",73,34,2,4,8,5,6,5,3,4,2,78
"E00021321",77,51,12,2,1,1,0,0,8,2,0,57
"E00021322",70,32,3,3,10,5,4,2,5,5,1,81
"E00021323",76,33,6,4,5,8,5,4,3,8,0,98
"E00021324",85,52,18,2,3,5,2,1,2,0,0,45
"E00021325",90,33,11,6,12,8,4,0,7,8,1,112
"E00021326",104,37,9,6,9,9,8,3,13,10,0,146
"E00021327",95,63,5,2,7,9,4,0,4,0,1,62
"E00021328",88,30,7,5,12,5,8,0,14,6,1,130
"E00021329",77,39,9,4,6,2,1,3,6,7,0,80
"E00021330",75,40,6,5,1,7,0,4,7,4,1,79
